timepoint,Glu_Obs,Ind_Obs
0,10.0889147507129,-0.000308073519100447
40,0.046366289933479,NaN
85,-0.0500037684480455,NaN
150,-0.170096101626512,NaN
200,0.133033035838722,NaN
250,-0.0545736302924926,NaN
300,-5.2728711252483e-05,NaN
350,-0.172526422028058,NaN
450,-0.0281778502261599,0.00577897190144966
900,NaN,0.00623457367953053
1500,NaN,0.00434317793479055
2000,NaN,0.00412382713655457
2500,NaN,0.0033464804386277
3000,NaN,0.00333592610299337
4000,NaN,0.00136221148964565
5000,NaN,0.0020134121467197
6000,NaN,0.000950223232906753
7000,NaN,0.00131661048174767
