timepoint,Glu_Obs,Ind_Obs
0,9.95498941073246,-0.0273524169448773
400,11.0576961153489,0.0121223558984194
800,9.45842098437636,NaN
850,NaN,0.00601005137700302
1000,11.4871527685149,NaN
1500,8.97636794771243,0.0680741724367662
2000,9.32188412401226,0.14921093261688
2500,NaN,0.282147228366768
3000,6.73813199562681,0.46519879921929
3500,3.21981650418365,0.461426731545899
4500,1.12338541058892,0.319100573851414
5000,NaN,0.219893900699847
5500,0.218854493971466,NaN
6500,-1.20732116813257,0.0581076715298089
7500,NaN,0.0625322893630415
