timepoint,Glu_Obs,Ind_Obs
0,10.1208642159423,-0.0203565432148706
350,NaN,0.0180499675383775
400,9.98520151253288,NaN
700,NaN,0.0263138947777821
750,10.2974657387162,NaN
1000,9.21067723640175,0.00143909764382131
1500,9.49618638881346,0.0206312322951845
2000,8.46922789606802,0.143041128136285
2500,8.24190794833568,0.339081663642262
3000,6.11020745719563,0.457955644301893
4000,3.02480324215498,0.375561209706416
5000,0.0171331246167148,0.190885858096036
6000,0.827478528366338,0.0702198323585387
7000,0.39640152646053,NaN
8500,0.0501548468761443,NaN
