timepoint,Glu_Obs,Ind_Obs
0,8.30225590812693,-0.0109378158494709
150,9.32387007609799,NaN
300,10.7932108556687,NaN
400,NaN,0.0243488752883255
450,8.65446408430669,NaN
600,9.54447638020554,NaN
800,8.48532938049699,NaN
850,NaN,-0.0280475036812043
1000,6.40305072466551,NaN
1500,3.38897508716905,0.259467340746538
2000,NaN,0.769787755784139
2500,NaN,0.759341705057645
3000,NaN,0.657337064588514
3500,NaN,0.422161395228817
4500,NaN,0.30353493729887
5500,NaN,0.158181533204815
6500,NaN,0.143149370778786
8000,NaN,0.0624992359844282
