timepoint,Glu_Obs,Ind_Obs
0,11.1098860699577,0.00840472291662685
200,10.2786050086921,NaN
400,9.83675327161338,NaN
450,NaN,0.035285844218177
600,8.8266803020678,NaN
850,8.586774239811,NaN
950,NaN,0.0141637125205619
1000,6.86449713096824,NaN
1500,2.25262740990493,0.316332620009626
2000,0.324653528996047,0.745211427466563
2500,0.695744493253649,0.785021650262737
3000,0.101741208208842,0.644077018300394
3500,1.09487963254854,NaN
4000,0.720434589071284,0.377346195174968
5000,NaN,0.205314233518991
6000,NaN,0.103030279606088
7000,NaN,0.0708231306840732
8500,NaN,0.0679561177131465
