timepoint,Glu_Obs,Ind_Obs
0,10.2021357087929,-0.0389961647482081
150,10.6549732398932,NaN
300,10.8083144729214,NaN
450,NaN,-0.00162673334440378
500,8.74072410219813,NaN
650,9.0433414662058,NaN
850,8.25879020705805,NaN
900,NaN,0.0391147012038615
1000,7.24623507880326,NaN
1500,3.56931280290673,0.323921127774194
2000,1.1202743695634,0.740011871401145
2500,-0.933040278813008,0.779706219468389
3000,-0.276192431261594,0.681934873449318
3500,0.0177065814883417,NaN
4000,NaN,0.34212056838042
5000,NaN,0.202833990994955
6000,NaN,0.236679624361595
7000,NaN,0.0821639377068587
8500,NaN,0.0589990211352532
