timepoint,Glu_Obs,Ind_Obs
0,10.1918541721853,-0.00110038136824685
150,9.66479534463623,NaN
300,10.1310088438229,NaN
400,NaN,0.0377719251024304
450,11.9547820913136,NaN
600,9.57217717460775,NaN
750,10.066420393662,NaN
850,NaN,0.0152889379238085
950,10.7296385094387,NaN
1000,9.51677461880042,NaN
1500,7.35736804120026,0.0675629131325366
2000,1.10887379138965,0.417357583261597
2500,0.580306670521207,0.536718380643657
3000,-0.371797784313725,0.34682249224906
3500,NaN,0.231597947686017
4500,NaN,0.0731717259480331
5500,NaN,0.0935199886422017
7000,NaN,0.0607015861529828
