timepoint,Glu_Obs,Ind_Obs
0,10.0394817249364,-0.000838349594415828
45,-0.145082572062315,NaN
95,-0.227499392632879,NaN
150,-0.0427318745373136,NaN
200,0.345113951189163,NaN
250,-0.0906272773087319,NaN
350,0.00109173864036794,0.00677632921350565
450,0.0145828616471681,NaN
700,NaN,0.00630193485320787
1000,NaN,0.00602103213116807
1500,NaN,0.00403140276719281
2000,NaN,0.00394076778148331
2500,NaN,0.00307098166834977
3000,NaN,0.00304053793152065
3500,NaN,0.00298767144765566
4500,NaN,0.00270024943907298
5500,NaN,0.00147572919201256
6500,NaN,0.00197418602413893
