t,input_il6,pJAK1_gp130_Obs
24,0.1,0.00035626648135485
24,0.1,0.00025995047131746
24,0.1,0.000278141846661236
24,0.1,0.000255727855740014
24,1,0.000388815944386293
24,1,0.000509695561325005
24,1,0.000568688310090299
24,1,0.000738756011238846
24,5,0.00355684412891556
24,5,0.00278808468720418
24,5,0.00311434160122131
24,5,0.00272425111320486
24,10,0.00849497880069303
24,10,0.00715771053499823
24,10,0.00769632682453436
24,10,0.00860095670686908
24,50,0.00121762375016555
24,50,0.00174030863882397
24,50,0.00149529598410322
24,50,0.00161439388657864
24,100,0.00510512999393126
24,100,0.00586937679908177
24,100,0.00422557685784252
24,100,0.00588583929150981
24,500,0.00992453253223409
24,500,0.0137305159693471
24,500,0.00615303353234218
24,500,0.0103906926763582
