t,input_ruxolitinib,nSOCS3RNA4_Obs
19,0,0.00215370320810282
19,10,0.00134736472624096
19,50,0.00148843108209039
19,100,0.00101908780103222
19,100,0.00121714619312678
19,200,0.0013944382834141
19,400,0.00148992720021827
19,500,0.00110899094317458
19,600,0.000833233799749816
19,800,0.000827580135781288
19,1000,0.000948353168116882
19,1000,0.00127653580193746
19,2000,0.00113933851614726
19,2000,0.00131991836729622
19,2000,0.00134169996608833
19,2000,0.00135911279995984
19,5000,0.000844841476538822
