t,input_il6,SOCS3RNA_Obs
30,0,1.60245201889829e-05
30,0,1.40032240079057e-05
30,0.5,8.43093394943238e-06
30,0.5,1.36353497282632e-05
30,1,1.5595188077222e-05
30,1,1.08065998593664e-05
30,2.5,4.5737569839379e-05
30,2.5,3.7403039705911e-05
30,5,0.000702641980254424
30,5,0.000805675748467255
30,10,1.91590789191253e-05
30,10,1.82575081550997e-05
30,25,0.000119178341819865
30,25,0.000202016953252066
30,50,2.35107067580909e-05
30,50,2.86534270449747e-05
30,100,0.000296462651011838
30,100,0.000416874055177099
30,500,0.00305546893567659
30,500,0.00301528632647684
