t,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.00435439949325634,0.00244580769630405,0.000172520526985315
10,NaN,0.0167094865944696,NaN
15,0.0826104832602773,NaN,0.00290655237105227
20,NaN,0.188886607605392,NaN
30,0.0713749535942812,0.404192659385449,0.0238766690572685
45,0.0641642848518769,0.176522041670847,0.0139807828996251
60,0.0806046206954996,0.084534117024866,0.00486686844415228
75,NaN,0.131375964678475,NaN
80,0.0503691524488123,NaN,0.00543821069180493
95,NaN,0.134774886425407,NaN
100,0.0649518929137009,0.0782663084391062,0.00649689618094284
150,0.044979801626715,0.0859967391541658,0.00733969430002719
200,0.0409825280995065,NaN,0.00382392583295268
250,0.0448971597225671,NaN,NaN
