t,input_ruxolitinib,SOCS3RNA_Obs
22,0,0.0114164075347807
22,10,0.00965535076278063
22,50,0.00528588767756914
22,100,0.00219304162858328
22,200,0.000996457392440021
22,200,0.00132758794614598
22,200,0.00174161463581576
22,200,0.0018017366336421
22,400,0.000387855848178371
22,500,0.000538535621296603
22,600,0.000226102132980718
22,800,0.000291169725711328
22,1000,0.000125006662316218
22,1000,0.000149595950443839
22,1000,0.000190168437037846
22,1000,0.000192059277257892
22,2000,0.000107245238655283
22,5000,7.82756427034619e-05
22,5000,9.15980696061436e-05
