t,input_il6,pJAK1_gp130_Obs
1700,0.1,0.000347889707354672
1700,0.1,0.000264686508193054
1700,0.5,0.000261636853194314
1700,0.5,0.000261742995475564
1700,1,0.000380277074910608
1700,1,0.000470544002895647
1700,2.5,0.000955661834871505
1700,2.5,0.00132965420743407
1700,5,0.00432407214544907
1700,5,0.0031937497269784
1700,10,0.000689659209776623
1700,10,0.000972864716168676
1700,25,0.0017850372069308
1700,25,0.00192918832740296
1700,50,0.000572542403452936
1700,50,0.00131598858727094
1700,100,0.00261380471596774
1700,100,0.00348583675032732
1700,500,0.00457431883856668
1700,500,0.00516569005486947
