t,input_il6,pJAK1_gp130_Obs
58,0.1,0.000217404514392836
58,0.1,0.000241522689671318
58,0.5,0.000165673843097454
58,0.5,0.000203824752482005
58,1,0.000284291207823868
58,1,0.000288711745785329
58,2.5,0.000635738426709929
58,2.5,0.000933461198421834
58,5,0.000840286258461716
58,5,0.00178754203037591
58,10,0.00262615282319485
58,10,0.00325165433675681
58,25,0.00428566840146183
58,25,0.00481355738976551
58,50,0.00691311464833985
58,50,0.00904542212150843
58,100,0.0111895799868963
58,100,0.0191278801538938
58,500,0.013058469922068
58,500,0.01770739619506
