t,input_il6,pJAK1_gp130_Obs
1800,0.1,0.000228924418534614
1800,0.1,0.000294656798260303
1800,0.5,0.000374369946849178
1800,0.5,0.00050735826691634
1800,1,0.000281242999214818
1800,1,0.000464659004594737
1800,2.5,0.0017062313039176
1800,2.5,0.000994587043503484
1800,5,0.00560730113961412
1800,5,0.00331779942343404
1800,10,0.000762283850898704
1800,10,0.000539818040597949
1800,25,0.00190070628845229
1800,25,0.00163520678030139
1800,50,0.000882187507502631
1800,50,0.0016752869979949
1800,100,0.00305423660018165
1800,100,0.00265292256114436
1800,500,0.00882329873566173
1800,500,0.0112255964189194
