t,input_il6,pJAK1_pgp130_Obs
300,0.1,0.00111277966543984
300,0.1,0.00142704713937968
300,0.5,0.0012491684235748
300,0.5,0.00153463383512461
300,1,0.00148985900227564
300,1,0.00269049897430736
300,2.5,0.00325506517548734
300,2.5,0.00570231775426123
300,5,0.00509075184185744
300,5,0.00630777997029859
300,10,0.00790085059034269
300,10,0.0111918978871409
300,25,0.0155239097712619
300,25,0.0217099027569896
300,50,0.0236485359315368
300,50,0.0255246792600121
300,100,0.0372599038560323
300,100,0.0421853059439843
300,500,0.0356187608556888
300,500,0.074424537007433
