t,input_il6,nSOCS3RNA4_Obs
44,0,0.00198043590573088
44,0,0.00276003051321453
44,0.0005,0.00175343360730266
44,0.0005,0.00229064918380232
44,0.005,0.0014666921955567
44,0.005,0.00166411810224053
44,0.005,0.00174389736385604
44,0.005,0.00185722952002996
44,0.005,0.00194613108434474
44,0.005,0.00240655332319591
44,0.005,0.00301888090960577
44,0.005,0.00314006176702213
44,0.05,0.00181438774596517
44,0.05,0.00241073013117122
44,0.05,0.00260942378675357
44,0.05,0.00271795787019984
44,0.1,0.00253077284091535
44,0.1,0.0037525196033663
44,0.5,0.00308183561405995
44,0.5,0.00332671704474428
44,0.5,0.00396606364727323
44,0.5,0.00455749843604474
44,1,0.00662501030420385
44,1,0.00859994834751917
44,1,0.00865174020845212
44,1,0.0102070916844573
44,2.5,0.0216133408459567
44,2.5,0.0234825206705621
44,2.5,0.023541153445626
44,2.5,0.0254857206512001
44,5,0.0247304344965481
44,5,0.0390167747239422
44,5,0.0431625591792353
44,5,0.0432758533757382
44,5,0.0480547517641466
44,5,0.0484313948818805
44,5,0.0489473200905058
44,5,0.0639270891470584
44,10,0.0438889048674878
44,10,0.0659487902681929
44,10,0.067403187116783
44,10,0.0702786133208103
44,10,0.0741950749730687
44,10,0.0928519324507548
44,10,0.09609151641367
44,10,0.147486865523476
44,25,0.0858737486450416
44,25,0.088222074438492
44,25,0.127058321845078
44,25,0.136580011992174
44,25,0.13810854250556
44,25,0.143211562639502
44,25,0.145722668994863
44,25,0.22139034186518
44,50,0.137663554287675
44,50,0.161609797686825
44,100,0.0763184478262708
44,100,0.0785321370658224
44,100,0.133053591148476
44,100,0.137057114266673
44,100,0.140422141475712
44,100,0.164545430808266
44,200,0.0653595673823658
44,200,0.0739136472002509
44,200,0.0837317253129858
44,200,0.0943110985433825
44,200,0.0945763146880341
44,200,0.118169197357294
44,200,0.124002838571879
44,200,0.138502770297852
44,500,0.0513906061442502
44,500,0.0540554632084566
44,500,0.0684066739513253
44,500,0.0797551681156872
