t,input_il6,nSOCS3RNA4_Obs
0,2.5,0.00145287593165397
0,2.5,0.00173143145553233
0,2.5,0.00183788554572593
0,2.5,0.00179397584557085
0,2.5,0.00166313302701377
0,10,0.0014786339036736
0,10,0.00194719580724942
0,10,0.00193013329869412
0,10,0.00152271840252285
0,10,0.00195242607104814
0,60,0.00282947822603678
0,60,0.00186180360178612
0,60,0.00148785448292163
0,60,0.00148078785639985
0,60,0.00170698629385164
0,120,0.00198254750516251
0,120,0.00177981798450941
0,120,0.00315628359082378
0,120,0.00175989382594312
0,120,0.00153654781749242
