t,input_il6,pJAK1_pgp130_Obs
640,0.1,0.00238472941356759
640,0.1,0.00607536232160223
640,0.5,0.00691698022097326
640,0.5,0.00754841104740297
640,1,0.00745842993609815
640,1,0.00989266464079874
640,2.5,0.00900733130573361
640,2.5,0.0124761952975093
640,5,0.0182281180740525
640,5,0.0188931778451152
640,10,0.0161328994468806
640,10,0.0334523817753164
640,25,0.0220371866206433
640,25,0.0294413509907427
640,50,0.0344786144378637
640,50,0.0554231667667393
640,100,0.0295506137483732
640,100,0.0489017938751982
640,500,0.0448582760658378
640,500,0.0879202714801808
