t,EGFR_Obs,pEGFR_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,48305691.0940013,-24487.9805637989,0.0213415630480544,-6.26646018484244e-05,236.074444580248,3.8834851453522e-05,-54759.2288505629
75,NaN,NaN,NaN,NaN,233.364881711652,NaN,NaN
150,30329205.5233202,612646.854384934,NaN,NaN,188.220493125022,NaN,1947184.58869755
250,NaN,NaN,NaN,NaN,269.657609429526,NaN,NaN
300,20450778.8558086,NaN,NaN,NaN,233.604751737612,NaN,NaN
350,NaN,419973.860746647,NaN,NaN,NaN,NaN,1152039.15642848
400,NaN,NaN,0.0175335481314989,0.00398535711031295,214.047280418491,NaN,NaN
450,13491178.7515451,NaN,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,254.868624982926,0.00100372531295437,784625.266688037
550,NaN,271999.910313445,NaN,NaN,NaN,NaN,NaN
600,7367638.66928419,NaN,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,192.664456866595,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,NaN,506189.359247097
750,NaN,114505.517802873,NaN,NaN,NaN,NaN,NaN
800,7096460.88275755,NaN,NaN,0.00160428563335426,198.2837226493,NaN,NaN
850,NaN,NaN,0.0189812730276596,NaN,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,NaN,0.00134803655259053,217640.852338265
1000,1765927.32994001,73887.6968379041,NaN,0.000960239398225878,194.754558790915,NaN,290453.933711593
1500,1327912.93428137,-6859.95238382805,0.0198379653441333,0.000257965628986171,NaN,0.00120811037675059,116035.339538628
2000,-1166094.28015331,NaN,0.0161357669138937,0.000150258737548003,NaN,0.00106187996341626,NaN
2500,1338635.41436852,NaN,0.0214964085358057,NaN,NaN,0.000840046606050431,NaN
3000,NaN,NaN,0.0247145189208106,1.13878002192932e-05,NaN,NaN,NaN
3500,NaN,NaN,0.0224326395363232,-6.02495040661782e-05,NaN,0.000563286684652399,NaN
4000,NaN,NaN,NaN,NaN,NaN,0.000504595546148721,NaN
4500,NaN,NaN,0.0238844729677996,-6.1996211130056e-06,NaN,NaN,NaN
5000,NaN,NaN,NaN,NaN,NaN,0.000313397907383212,NaN
5500,NaN,NaN,0.02364454958881,7.31236649751006e-05,NaN,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,0.000320628357659036,NaN
6500,NaN,NaN,0.0233586675636599,NaN,NaN,NaN,NaN
7000,NaN,NaN,NaN,NaN,NaN,0.000210928592607963,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.000179724559905865,NaN
