t,EGFR_Obs,pEGFR_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,47424532.1693252,-2801.8849105272,0.0214479882894939,7.74233327230916e-06,210.088199831922,-4.86519648875768e-06,-309.027294503862
80,NaN,NaN,NaN,NaN,195.777446083137,NaN,NaN
150,33498621.8818802,NaN,NaN,NaN,213.003301073361,NaN,NaN
200,NaN,206182.363303163,NaN,NaN,NaN,NaN,696542.874946874
250,28067223.754202,NaN,NaN,NaN,191.244969550595,NaN,NaN
350,NaN,167441.785626729,NaN,NaN,224.643724543211,NaN,528321.651854238
400,21163652.8143304,NaN,NaN,0.00181937780861651,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,200.165050973343,NaN,NaN
500,NaN,NaN,0.0173381638953255,NaN,NaN,NaN,NaN
550,12478149.9515807,NaN,NaN,NaN,NaN,0.000490819214187392,NaN
600,NaN,81608.2473513562,NaN,NaN,209.242536143218,NaN,290104.782496164
700,11027966.0659708,NaN,NaN,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,219.736940012394,NaN,NaN
800,NaN,57614.0344480608,NaN,NaN,NaN,NaN,205080.304894002
850,8666752.45986914,NaN,NaN,0.000743247274177702,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,206.279594860676,NaN,NaN
1000,6600633.72502181,36276.3910520041,0.020689454736597,NaN,228.643724042017,0.00054798223763314,187790.85802022
1500,2670993.5648469,16431.3247944501,0.0224447628033659,0.00020362119412706,NaN,0.000550754704236611,49522.1283989929
2000,-326434.061230333,NaN,0.0195777186613184,7.82552023123549e-05,NaN,NaN,NaN
2500,-1346991.48610871,NaN,NaN,5.8805759620204e-06,NaN,0.000456854808314822,NaN
3000,NaN,NaN,0.0204770587205527,3.07163752228918e-05,NaN,0.000379066292177673,NaN
3500,NaN,NaN,0.0191533442163266,NaN,NaN,NaN,NaN
4000,NaN,NaN,NaN,2.40358596666192e-05,NaN,0.000269441163937015,NaN
4500,NaN,NaN,0.0214410874028437,NaN,NaN,0.000269308005376288,NaN
5000,NaN,NaN,NaN,-4.09182017637616e-05,NaN,NaN,NaN
6000,NaN,NaN,0.0192230060166174,6.31312403421795e-07,NaN,7.35054508185416e-05,NaN
7000,NaN,NaN,0.0222169864937043,NaN,NaN,0.000119807915902674,NaN
8500,NaN,NaN,NaN,NaN,NaN,4.65099222878063e-05,NaN
