t,EGFR_Obs,pEGFR_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,47763337.0111345,-158643.472772674,0.0255982701899529,-6.91166780540747e-05,225.248640557428,-1.36761156684593e-05,463827.154317586
35,609460.465299247,7389541.87261797,NaN,NaN,NaN,NaN,30288947.2562749
40,NaN,NaN,NaN,NaN,220.899064602251,NaN,NaN
65,NaN,6946449.64064831,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,18358698.7720712
75,1024080.30155462,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,197.743554288231,NaN,NaN
100,612714.052701112,4576757.8347783,NaN,NaN,NaN,NaN,11720068.8399926
150,-989250.287458393,2432139.06958371,NaN,NaN,197.142425557631,NaN,5497706.87658172
200,483205.23783798,1208250.67564813,NaN,NaN,218.009540476411,NaN,2913073.89380842
250,NaN,517002.094686082,NaN,NaN,207.476755063168,NaN,1952448.66686405
300,-109882.56046883,402269.1675814,NaN,0.00435802492143357,238.886702747069,NaN,94868.2682244617
350,942190.794571396,18410.0846129377,NaN,NaN,185.601940016903,NaN,628177.112383801
400,NaN,NaN,0.0174618717626213,NaN,NaN,NaN,-321141.057110903
450,354431.289687593,-206955.995789765,NaN,NaN,216.894648657061,0.00182349768639155,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,-235602.047818598
550,NaN,-221895.234546239,NaN,NaN,212.097138440319,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,693022.283849889
650,NaN,NaN,NaN,9.81030254359566e-05,NaN,NaN,NaN
850,NaN,NaN,0.0190940411523909,NaN,NaN,NaN,NaN
900,NaN,NaN,NaN,NaN,NaN,0.00164525216910797,NaN
1000,NaN,NaN,NaN,6.34656388006473e-05,NaN,NaN,NaN
1500,NaN,NaN,0.0196485589845621,2.52368061549733e-05,NaN,0.00123300699980693,NaN
2000,NaN,NaN,NaN,2.80993905076329e-05,NaN,0.00101378788804681,NaN
2500,NaN,NaN,0.0245626917961157,3.14788181585364e-06,NaN,0.000922688739375892,NaN
3000,NaN,NaN,0.0211454619035386,NaN,NaN,0.000721820259021811,NaN
3500,NaN,NaN,0.0239607976875836,2.07018970319692e-05,NaN,0.000659153406191002,NaN
4500,NaN,NaN,0.0214840670123582,NaN,NaN,0.000459850074536564,NaN
5500,NaN,NaN,0.0224060154787427,NaN,NaN,0.000324616990549623,NaN
6500,NaN,NaN,0.0219953800020453,NaN,NaN,0.000234901986914364,NaN
7500,NaN,NaN,NaN,NaN,NaN,0.000177572088353096,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.000173148209752075,NaN
