t,EGFR_Obs,pEGFR_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,46588817.5695659,219480.682414198,0.02212321434675,-5.76494714712838e-05,189.013538376058,7.68613693900015e-05,61037.7324278015
30,15118688.062272,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,5666377.31277688,NaN,NaN,NaN,NaN,23969594.0865919
65,5791351.27519264,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,6196639.45846753,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,16956651.2149927
100,2526847.31218032,5372400.19149617,NaN,NaN,212.922258204675,NaN,NaN
150,819154.484744379,2894485.6381311,NaN,NaN,NaN,NaN,8052992.50483896
200,659110.060160687,1597183.98236663,NaN,NaN,NaN,NaN,3900117.44560379
250,-278376.44462433,556317.719855922,NaN,NaN,207.686927655582,NaN,2103953.21890784
300,-862550.403436477,194708.583180758,NaN,0.00554646334722343,NaN,NaN,1524617.84490513
350,433798.556080621,NaN,NaN,NaN,221.207080129118,NaN,633946.633366899
400,NaN,423410.967316088,NaN,NaN,NaN,NaN,NaN
450,NaN,57028.773680126,NaN,NaN,NaN,NaN,-131673.750586402
500,NaN,NaN,0.01889685806182,NaN,210.168961977117,0.00200017668535626,NaN
550,NaN,-60342.3918739985,NaN,NaN,NaN,NaN,278444.682205152
600,NaN,NaN,NaN,2.26483342628838e-05,NaN,NaN,NaN
650,NaN,34742.5879561276,NaN,NaN,239.830436190308,NaN,802082.284880914
800,NaN,NaN,NaN,NaN,NaN,NaN,471411.56834115
850,NaN,NaN,NaN,NaN,206.453496304985,NaN,NaN
900,NaN,NaN,NaN,2.38146430531913e-05,NaN,NaN,NaN
1000,NaN,NaN,0.0202504416391615,NaN,227.248996764425,0.00157717550319263,NaN
1500,NaN,NaN,0.0240839409557534,1.59004388339747e-05,197.282510522861,0.00128300535586902,NaN
2000,NaN,NaN,0.0192600632295264,0.000193273937895059,208.815245866737,0.00112587825533618,NaN
2500,NaN,NaN,NaN,NaN,NaN,0.000951142736809312,NaN
3000,NaN,NaN,0.0225503534684033,-3.70951446168248e-05,NaN,NaN,NaN
3500,NaN,NaN,0.0227685690236089,NaN,NaN,0.000726799073164082,NaN
4000,NaN,NaN,NaN,NaN,NaN,0.000601457043686999,NaN
4500,NaN,NaN,0.0223957318058597,NaN,NaN,NaN,NaN
5000,NaN,NaN,NaN,NaN,NaN,0.000433784480433039,NaN
5500,NaN,NaN,0.0222723415170888,NaN,NaN,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,0.000325654689838123,NaN
7000,NaN,NaN,0.0210092681681792,NaN,NaN,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,0.000154752863742725,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.000105489988880916,NaN
