t,EGFR_Obs,pEGFR_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,47678132.337598,-15640.9819020991,0.0220657022979788,8.26725577264673e-05,207.800800122113,6.91329890953026e-05,343464.430705369
80,NaN,NaN,NaN,NaN,217.473637762736,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,5801144.44033694
90,30748527.2288515,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,1725256.43291627,NaN,NaN,NaN,NaN,NaN
150,NaN,NaN,NaN,NaN,199.65492122642,NaN,NaN
200,18671375.1114715,1450129.50720742,NaN,NaN,NaN,NaN,4569373.83118883
250,NaN,NaN,NaN,NaN,230.796268139581,NaN,3815167.96944247
300,10055750.1757441,992860.630246447,0.0117800035322324,NaN,NaN,NaN,NaN
350,NaN,NaN,NaN,0.00711478991999093,225.066721676446,NaN,2415295.46300158
400,5639809.82112136,NaN,NaN,NaN,NaN,NaN,NaN
450,NaN,546106.138172714,NaN,NaN,181.386428644589,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,0.00175826518539574,1072338.09770872
550,4206350.17978621,NaN,NaN,NaN,NaN,NaN,NaN
600,NaN,221287.830746196,NaN,NaN,168.226115605486,NaN,805201.234182239
650,NaN,NaN,0.0171891680717103,NaN,NaN,NaN,NaN
700,2517942.8978965,NaN,NaN,0.00198135079217417,NaN,NaN,NaN
750,NaN,226334.92243663,NaN,NaN,247.989246869944,NaN,415275.746139188
850,1879223.05995087,NaN,NaN,NaN,NaN,NaN,NaN
900,NaN,NaN,NaN,NaN,218.713078467534,NaN,45883.198538764
950,NaN,140630.202267295,NaN,NaN,NaN,NaN,NaN
1000,NaN,NaN,0.0196201149351603,0.000605425063344799,227.957760634054,0.00194660651194933,66178.647833928
1500,NaN,NaN,0.0208098157722863,7.97616197078204e-05,NaN,0.00170804606237342,-102609.286754888
2000,NaN,NaN,0.0215091983876604,1.19037217147073e-05,NaN,0.00152404246503077,NaN
2500,NaN,NaN,0.0171226725178997,0.000152614922170134,NaN,0.00118258113423291,NaN
3000,NaN,NaN,NaN,-4.58298004068855e-05,NaN,NaN,NaN
3500,NaN,NaN,0.0194538956785868,NaN,NaN,0.000819547167861349,NaN
4000,NaN,NaN,0.0191263471118684,2.88046458622918e-05,NaN,0.000719474272095387,NaN
4500,NaN,NaN,0.0208913290606944,NaN,NaN,NaN,NaN
5000,NaN,NaN,NaN,-2.4753965026146e-05,NaN,0.000336647265773543,NaN
5500,NaN,NaN,0.0229415292850614,NaN,NaN,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,0.000299642572744979,NaN
7500,NaN,NaN,NaN,NaN,NaN,0.000212301284630604,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.000178975296303687,NaN
