t,EpoRpJAK2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs
0,-0.00300110642953244,0.000686664492714418,0.000643191122593304,0.000618641427699087,0.00606488376330744
9,NaN,0.000723291838629927,NaN,NaN,NaN
10,NaN,NaN,0.000616337994883525,0.000818772611814825,NaN
15,NaN,NaN,NaN,NaN,0.00603414327340992
20,0.0250405194285859,0.00078757468608383,0.000715840563655944,0.000739664870576079,NaN
25,NaN,NaN,NaN,NaN,0.00637770336065367
30,NaN,0.000640362996715419,NaN,NaN,NaN
35,0.0574572658964244,NaN,0.000723289148987529,0.000784840798995526,NaN
40,NaN,0.000673866348657967,NaN,NaN,0.00580020829702198
45,NaN,NaN,0.000694944122984947,NaN,NaN
50,NaN,NaN,NaN,0.00065089114563745,NaN
55,0.0715150632095239,0.000665126412787906,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,0.00702540459041243
65,NaN,NaN,0.000678552087341642,0.000740762929652017,NaN
70,NaN,0.00072707997019541,NaN,NaN,NaN
75,0.0971772199546694,NaN,NaN,NaN,NaN
80,NaN,NaN,0.0007066444008827,NaN,0.00550966371921036
85,NaN,NaN,NaN,0.000664227263524985,NaN
90,NaN,0.000741765029387142,NaN,NaN,NaN
100,0.104576701654388,0.000749308888508441,0.000725481277912547,0.000634227972217523,0.00678040452417652
150,0.134270643546952,NaN,NaN,NaN,0.00554672023274565
200,0.135705003845097,NaN,NaN,NaN,NaN
250,0.124781930838683,NaN,NaN,NaN,NaN
300,0.133790634149549,NaN,NaN,NaN,NaN
350,0.134167621468554,NaN,NaN,NaN,NaN
