t,EpoRpJAK2_Obs,CISHnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,-0.000933785763854631,-4.76780078346517e-05,0.00388495205336154,0.00417596443909502,0.00840334395606341
9.5,0.0722489099754218,NaN,NaN,NaN,NaN
15,NaN,0.00313164087849444,0.00984587253324117,0.00444650789174948,0.00804902001618697
20,0.0817459214026367,NaN,NaN,NaN,NaN
30,0.0842002495472011,NaN,0.0240850199242957,0.0172122866256254,NaN
35,NaN,0.0253352896321933,NaN,NaN,0.0196251781325523
40,0.0819984634417968,NaN,NaN,NaN,NaN
50,NaN,NaN,0.0192372330963869,0.0224407485623068,NaN
55,0.0799934006101208,0.0225451144599894,NaN,NaN,0.037359358969281
65,NaN,NaN,0.0139299235367293,NaN,NaN
70,0.0747266247998402,NaN,NaN,0.0152728631142934,NaN
75,NaN,0.0137620191924431,NaN,NaN,0.0373479652421419
90,0.0800502867918588,NaN,0.0084360753158337,0.0104979977524913,NaN
95,NaN,NaN,NaN,NaN,0.0276138875065673
100,0.0796265775839491,0.00829884987116583,0.00830945730060854,0.00854595399075526,0.0246201576015801
150,NaN,0.00830026095662889,0.00848210123508469,0.00864575985178716,0.01818609499308
200,NaN,0.00814143312530718,0.00831985611647889,0.00872807572648245,0.0176388491914411
250,NaN,0.00690326014904869,NaN,NaN,0.0175286373144658
