t,epo_level,EpoRpJAK2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
8,0,3.31598798504667e-05,0.00065013448994248,0.000648939446945232,0.0064308827059054
8,0,0.00680835907967736,0.00064636778286383,0.000729867434819244,0.00644477407048482
8,4.2857e-08,0.0959806191839587,0.000750163887543573,0.000684011255004823,0.00612723646845045
8,4.2857e-08,0.100046556811459,0.000640315123772956,0.000704826696321599,0.00630990539562869
8,1.4286e-07,0.0631162194162177,0.000767510935760214,0.000683478003692009,0.006266198732844
8,1.4286e-07,0.0654443120751778,0.000715328395825589,0.000675803338223585,0.00586043397614096
8,4.2857e-07,0.00639487718540554,0.000706544752084271,0.000662412025421553,0.00552815158914353
8,4.2857e-07,0.0107301703964661,0.000748975898458896,0.000725620760221523,0.00568645417476403
8,1.4286e-06,0.0640122218383342,0.000771587873349937,0.000745449933618813,0.00647252517338193
8,1.4286e-06,0.0580441235870193,0.000801975144859899,0.000658916173621652,0.00558854446632844
8,4.2857e-06,0.120471140377156,0.000689785706002081,0.000672148328846235,0.00653642261304369
8,4.2857e-06,0.112151397283673,0.000669040952148471,0.000693994547626465,0.00548494177968055
8,1.4286e-05,0.0235249873080506,0.000662624703027223,0.000756133842825879,0.00616682643340875
8,1.4286e-05,0.0206824679873794,0.000789072351726685,0.000684885909779043,0.00685848269210701
8,4.2857e-05,0.00236487131593248,0.000698888383910876,0.000631846229214756,0.00491264613877341
8,4.2857e-05,0.00376134973254176,0.000758565574915755,0.000740874406563568,0.00587804914884974
