t,EpoRpJAK2_Obs,CISHnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs
0,0.00149058032475949,-0.000240808354006144,0.0102575458493308,0.011777226855262,0.00922971965722987,0.0241824161076776
20,0.081691859124953,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,0.0281313367591237,NaN,NaN
30,NaN,0.0474907408986369,0.0562984293552186,NaN,NaN,0.0334484557548965
35,NaN,NaN,NaN,NaN,0.0392750701578981,NaN
40,0.0794420242937547,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,0.0508569379442143,NaN,NaN
60,NaN,NaN,0.0369014126469089,NaN,NaN,0.096316625780741
65,0.0761755739600272,0.0410161087667998,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,0.0358428808278365,NaN
85,NaN,NaN,NaN,0.0265328969517118,NaN,NaN
90,0.0805653816585136,NaN,NaN,NaN,NaN,0.0683865929659381
95,NaN,0.0157151899568358,0.0170797351114333,NaN,NaN,NaN
100,0.08125870890933,NaN,NaN,0.0185575140205841,0.0205996145457589,0.0564693908416636
150,0.0762258893085559,0.0147678774819176,0.0183740335905384,0.0193550226797634,0.0173989096859962,0.0370342264086606
200,0.074620177909978,0.0158505182369975,0.0186887760887122,0.0190657720519621,0.0191948514806028,0.0394217577185074
250,NaN,0.013844988427184,0.0173383139889666,0.0180046248695417,NaN,0.0364974399646133
300,NaN,0.0143088305534531,NaN,0.0185459943275186,0.0183800907682446,0.0363040523161226
350,NaN,0.0130126523538154,0.0177024423321538,NaN,NaN,NaN
400,NaN,NaN,0.0186176687152106,0.0160587037711828,NaN,0.0380295811058711
450,NaN,0.0134398842207849,NaN,NaN,NaN,0.0373523045929072
500,NaN,NaN,0.0178292979313443,NaN,NaN,NaN
