t,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,CISHnRNA4_Obs,nSTAT5_Obs
0,0.00104843360434328,-0.00486564030012501,8.63299159593052e-05,-0.0131691051881939
15,0.0149179983551066,0.117426737349397,NaN,0.253997443353859
20,NaN,NaN,0.000138261866672027,NaN
25,NaN,NaN,NaN,0.390478320903047
30,0.0228806765300691,0.0980801163671741,NaN,NaN
40,NaN,NaN,0.000180691197910941,0.352774626579444
45,0.0272049121712473,NaN,NaN,NaN
50,NaN,0.0851145833259704,NaN,NaN
55,NaN,NaN,NaN,0.309254257857802
60,0.0322171552921398,NaN,NaN,NaN
65,NaN,0.0794525393975716,0.000168092784898603,NaN
70,NaN,NaN,NaN,0.284612318746622
80,0.0379506069191913,NaN,NaN,NaN
85,NaN,0.0713203575737561,NaN,NaN
90,NaN,NaN,0.000157455680779211,0.233878650583537
100,0.0387535332116804,0.0768152538578103,0.000135321362492687,0.240636100131584
150,0.0435818766575249,0.0598930700182568,0.000141474510791562,0.215324334172413
200,0.0413521506438543,0.0626308295802505,0.000141545495451153,0.184931659207336
250,0.0458571644125815,0.0560562788509193,0.000127895646684365,NaN
300,NaN,0.0567880129924251,0.000103713536601432,NaN
