t,EpoRpJAK2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,0.00878977252776388,0.0120116882675462,0.00891172935257255,0.0181791497355274
5.5,0.0805730707967629,NaN,NaN,NaN
6.5,NaN,0.0106003226564423,NaN,NaN
9,NaN,NaN,0.0109892163265688,0.0191412230807659
10,0.0652128768056291,NaN,NaN,NaN
15,0.0802968312348944,0.0213464199657352,NaN,NaN
20,NaN,0.0364469760453175,0.0164422062201182,0.0305450242211596
25,0.0933077873148517,NaN,NaN,NaN
30,0.080220889101374,0.0593997064110161,0.0414813749473499,0.0324335066601273
40,0.0796182994774294,0.0562217063417334,0.055636907353801,0.0618829530163498
50,0.0657134276501969,0.0474868002211476,NaN,0.0806030356522034
55,NaN,NaN,0.0488505088676949,NaN
60,0.0760329971848926,0.035746327606857,NaN,0.0995348767463167
70,NaN,NaN,0.0369736440270174,NaN
75,0.0740540832443596,0.022541121601989,NaN,0.0913390460977829
90,NaN,0.01883367669748,NaN,0.0687613875261934
95,NaN,NaN,0.0182045308821196,NaN
100,NaN,0.0187405985617593,0.025464045087904,0.0537934099782705
150,NaN,NaN,NaN,0.0462724790336877
200,NaN,NaN,NaN,0.0394841859287841
