t,EpoRpJAK2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs
0,0.00288573500544517,0.000687075144688683,0.000710389188487921,0.000702756312525472,0.00608222334154503
7.5,NaN,0.000673753095265586,NaN,NaN,NaN
8,NaN,NaN,NaN,0.00067761679720965,NaN
10,NaN,NaN,0.000706349408478534,NaN,0.00590128656731159
15,NaN,0.000710047856877173,NaN,0.000703198814007449,NaN
20,NaN,NaN,0.000699469222660451,NaN,NaN
25,0.0421365058604943,0.000699038313628311,NaN,0.000689582413442301,0.00578843895674042
35,NaN,0.000704320563210814,0.000677228858921796,0.000722741054897472,0.00615218909502703
45,NaN,0.000693199730933646,NaN,0.000691641682750436,NaN
50,0.0777983943423405,NaN,0.00071761103197452,NaN,0.0062488359197629
55,NaN,0.000702478703763789,NaN,NaN,NaN
60,NaN,NaN,NaN,0.00069337991037168,NaN
65,NaN,NaN,0.000692926309373425,NaN,0.00611120303134188
70,NaN,0.000703295777238061,NaN,NaN,NaN
75,0.0989052549430709,NaN,NaN,0.000687682562342319,NaN
85,NaN,NaN,0.000718709924702842,NaN,0.00583929956246059
90,NaN,0.000700506740403814,NaN,NaN,NaN
95,NaN,NaN,NaN,0.000696293381779189,NaN
100,0.107166680704376,NaN,0.000748234763731688,NaN,0.00602197639506126
150,0.128471853741375,NaN,NaN,NaN,0.00584059512391406
200,0.129072383136461,NaN,NaN,NaN,NaN
250,0.141148464798027,NaN,NaN,NaN,NaN
300,0.137380643502429,NaN,NaN,NaN,NaN
400,0.139773618180652,NaN,NaN,NaN,NaN
