t,EpoRpJAK2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs
0,0.0453851344537696,0.0117626680905275,0.013605906398114
5,NaN,0.00988592041773227,NaN
10,0.364864582650472,0.0242784961095351,0.0156935312904733
15,NaN,0.0506865403177036,NaN
20,0.41446521090218,NaN,NaN
25,NaN,0.0836916791719315,0.0464152153817743
30,NaN,0.0840119791113173,NaN
35,0.404662993037681,0.0796455535670234,0.0707251913886725
45,0.39332450463991,0.0637088835124779,NaN
50,NaN,NaN,0.0678421156917264
55,NaN,0.0481635289192907,NaN
60,0.384497118934868,NaN,NaN
70,NaN,0.0308355501974864,0.0438522110341863
75,0.336576557446699,NaN,NaN
85,NaN,0.0302129528499021,0.0306990587973098
95,0.372677079165336,NaN,NaN
100,0.359260979349635,NaN,0.0229912352286374
150,0.393922438333003,NaN,0.0298819129381974
200,0.382510192832043,NaN,0.0241200233069451
