t,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,CISHnRNA4_Obs,nSTAT5_Obs
0,-0.00078634438856137,-0.000585664859049937,9.59279950763438e-05,0.0025185769945738
15,0.0118055543549915,0.11367244997608,NaN,0.279030397765613
20,NaN,NaN,0.000142027697366728,NaN
25,NaN,NaN,NaN,0.39978160629037
30,0.0206829576649756,0.10110079187024,NaN,NaN
40,NaN,NaN,0.000193575471835809,0.376803056987093
45,0.0276997567823045,NaN,NaN,NaN
50,NaN,0.0828675655863106,NaN,NaN
55,NaN,NaN,NaN,0.323245035410786
60,0.0316466097694938,NaN,0.000172162769591963,NaN
70,NaN,0.0768287114225787,NaN,NaN
75,NaN,NaN,NaN,0.251133655129249
80,0.0356045833088623,NaN,NaN,NaN
85,NaN,NaN,0.000155064611823624,NaN
90,NaN,0.0698144485195251,NaN,NaN
95,NaN,NaN,NaN,0.232158998131056
100,0.037158041172303,0.0645444744246189,0.000158301381408116,0.230816761890241
150,0.0410227612941,0.057798558165413,0.000140489951407571,0.196565413038941
200,0.0430772710772165,0.0570498177767553,0.000134900398711065,0.176315788064627
250,0.0426014518525068,0.0548385237764604,0.00012975904319447,0.157377405829092
