t,EpoRpJAK2_Obs,CISHnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs
0,0.000231078296541198,0.000126058898003328,0.0111873754494719,0.0109468042285717,0.0108751411032301,0.0217459800403075
15,0.0917197256226168,NaN,NaN,0.0110808337543072,0.010964064601758,0.0233927696131758
20,NaN,0.000118540937925308,0.01097596010725,NaN,NaN,NaN
25,0.0728991883926325,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,0.0115607742988138,NaN,0.022112759016183
35,NaN,NaN,NaN,NaN,0.011658205658356,NaN
40,0.060123428410325,0.000517350254322421,0.0111050603420719,NaN,NaN,NaN
45,NaN,NaN,NaN,0.0108429260278393,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,0.0225648561484759
55,NaN,NaN,NaN,NaN,0.0105592217498158,NaN
60,0.0549672074121862,0.000804608194887966,0.0111144788009588,NaN,NaN,NaN
65,NaN,NaN,NaN,0.0114843268855368,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,0.022401736003703
75,0.0523751051500503,NaN,NaN,NaN,0.0108923742653899,NaN
85,NaN,0.000616177216279851,0.0111663829286259,0.0113966845671928,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,0.0219516240424756
95,0.0511136744395395,NaN,NaN,NaN,NaN,NaN
100,0.051254850477423,0.000467838449273907,0.0113734873684437,0.0108207594263718,0.0110895081199855,0.0221927693201518
150,0.0487383164021739,0.000311507931251363,0.0105109480891016,0.0110527128248468,0.0110729461483787,0.0216662348812391
200,0.0481120418016963,0.000274889032922514,0.0109346115553495,0.011239240608839,0.0111211967534676,0.0218683965806493
250,NaN,0.00026876865706804,NaN,0.0108656313606378,0.0104954260837681,0.0227124900545303
300,NaN,NaN,0.0109525717764675,NaN,NaN,NaN
