t,EpoRpJAK2_Obs,CISHnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,0.000883503956193097,0.000306040356016666,0.0105280762504689,0.0117803173330194,0.0213882428076114
6.5,0.0784446829490662,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,0.0105127042422206,NaN
8.5,NaN,0.000718952292215776,NaN,NaN,NaN
10,NaN,NaN,0.0123270668828135,NaN,0.0224280323892619
15,0.0812931677747457,NaN,NaN,0.0124216693867973,NaN
20,0.0730096877880262,0.00907948162137699,0.0227053314492824,0.0145859464113977,NaN
25,0.0729360559316354,0.0161371589502838,NaN,NaN,0.0229300879258902
30,NaN,NaN,0.0289365345372393,0.0228360473412517,NaN
35,0.0716110753033054,NaN,NaN,NaN,0.0336766205817404
40,NaN,0.0285884439755856,NaN,0.0265413637241506,NaN
45,0.0649099559397571,NaN,0.0250702335675933,NaN,NaN
50,NaN,0.0261239019855086,NaN,0.0275474158547864,0.0465032408225003
55,0.0602447650581191,NaN,NaN,NaN,NaN
60,NaN,NaN,0.0196856975153283,NaN,0.0493617838398982
65,0.0645668742468141,0.0179166984419571,NaN,0.0216723308401162,NaN
75,NaN,NaN,0.016573518601238,NaN,NaN
80,0.0616977064233838,0.0112339577496365,NaN,0.0177154477498504,0.0458545089935804
95,0.0577843398805756,NaN,0.0127520653496478,NaN,0.0365233737664086
100,0.0635740319849537,0.00653194295742538,0.0138399392028529,0.0156273101637541,0.0354600817055686
150,NaN,0.00542370990006644,0.0132220785617719,NaN,0.0267231553114826
200,NaN,NaN,NaN,NaN,0.0259257631618096
