t,epo_level,SOCS3RNA_Obs
14,2.5e-09,0.0211852179163705
14,7.905e-09,0.0212271596562117
14,7.905e-09,0.0227803430772408
14,7.905e-09,0.0211235240430511
14,1.25e-08,0.0241470896874033
14,1.25e-08,0.0225391773653452
14,1.25e-08,0.0214136591428673
14,1.75e-08,0.0202427943196878
14,2.5e-08,0.020676406681624
14,2.5e-08,0.0227258672333881
14,2.5e-08,0.0225444078373477
14,3.95e-08,0.0221941375548481
14,3.95e-08,0.0228397814754089
14,3.95e-08,0.0221327034478469
14,7.9e-08,0.0228144681137588
14,1.25e-07,0.0194804647020794
14,1.25e-07,0.0243203731191526
14,1.25e-07,0.0226259633900374
14,1.7675e-07,0.0200798506466589
14,2.5e-07,0.0222585301286624
14,2.5e-07,0.0202080018366807
14,2.5e-07,0.0234686393925975
14,7.905e-07,0.0221423389100265
14,2.5e-06,0.0192567215283465
