t,EpoRpJAK2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs
0,-0.00930208189069493,0.0136342313530101,0.00956815613953437
7.5,0.274030745521184,NaN,NaN
8,NaN,0.016872842038905,NaN
9.5,NaN,NaN,0.0144592576462672
15,0.381611734659028,0.0495681819753943,NaN
20,NaN,NaN,0.0366585624476162
25,0.418579969669869,0.0802492733801791,NaN
30,0.425431563258938,NaN,0.0646518168469408
35,NaN,0.0779401937856343,NaN
40,0.383888249211818,NaN,0.0779368219296464
45,NaN,0.0648200552223949,NaN
55,0.375116969029979,NaN,0.063533189135708
60,NaN,0.0427134774377233,NaN
65,0.376974930168588,NaN,0.0503099738402419
75,NaN,0.031191108075765,NaN
80,0.363696149629852,NaN,NaN
85,NaN,NaN,0.0288969886133838
90,NaN,0.0266162400768874,NaN
100,0.390136297111606,0.0228124245139449,0.02399604015698
150,0.389113681723895,NaN,0.0309370864207282
200,NaN,NaN,0.0282122833195496
