t,epo_level,EpoRpJAK2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs
7,2.5e-09,-0.00267373456527505,0.0112244963070545,0.0111817826553785
7,2.5e-09,-0.000532354320617276,0.0108283159005333,0.010694200043395
7,2.5e-09,0.00458327114319491,0.0100830378039355,0.0104518234918186
7,2.5e-08,0.0183808619263402,0.0106805774911511,0.0109682616801714
7,2.5e-08,0.0272055842653422,0.0111412722053466,0.0110136338142433
7,2.5e-08,0.0275640625503373,0.0110674277007055,0.0107707160724424
7,2.5e-07,0.101659087260896,0.0114793829609674,0.0108204840170052
7,2.5e-07,0.104496722836957,0.0121512242988265,0.0111341156638809
7,2.5e-07,0.105603481824625,0.0116290863680593,0.0112258532097665
7,2.5e-06,0.326714405116546,0.0171065432787902,0.0107867879203625
7,2.5e-06,0.33612209165222,0.0164482448012445,0.0108776193863874
7,2.5e-06,0.338649203486653,0.0174230744140863,0.0108985596362468
7,2.5e-05,0.471117794735685,0.019144532374907,0.0113693422800367
7,2.5e-05,0.472373136247262,0.0182556565699619,0.0111055220196037
7,2.5e-05,0.480895169798036,0.0186707753378095,0.011949729681741
