t,epo_level,EpoRpJAK2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs
20,2.5e-09,0.00127600107848295,0.0129200156225636,0.0115314979951382
20,2.5e-09,0.00420901531091549,0.00882308119758367,0.0123171858572419
20,2.5e-09,0.0106377633659688,0.0110176405952292,0.0116517056162969
20,2.5e-08,0.0134142706690829,0.0149270571282293,0.0107172167321767
20,2.5e-08,0.0176830028604766,0.0139042826041466,0.0110032235312888
20,2.5e-08,0.0205782579679218,0.0137494597568636,0.0122227448569538
20,1.25e-07,0.0726102646257809,0.0377796447781725,0.0188919648903952
20,1.25e-07,0.0778266085752121,0.0350758486951004,0.0171822277735261
20,1.25e-07,0.0917448495938034,0.0360630653070174,0.0174816118834979
20,2.5e-07,0.135784299335098,0.0498551118577373,0.0241802149201479
20,2.5e-07,0.139331079031431,0.0504310576363638,0.0233858802766726
20,2.5e-07,0.146798641192886,0.0521386682020971,0.0234053612894855
20,1.25e-06,0.411394616717053,0.0704107603490738,0.0349200408567495
20,1.25e-06,0.412959422101521,0.0693169831257212,0.0359210773301027
20,1.25e-06,0.414695677187316,0.0705667300058831,0.0352438036995668
20,2.5e-06,0.571282004101259,0.0730764118946811,0.0373473966957733
20,2.5e-06,0.57696185510879,0.0719626617297481,0.038689875684806
20,2.5e-06,0.578080908221634,0.073730836844254,0.0368434833563816
