t,EpoRJAK2_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3_Obs
0,2.1028576689517,0.0125080177176797,0,99.6860064886096
8,2.44956361832996,NaN,NaN,NaN
10,NaN,NaN,NaN,86.2834586584919
15,2.19317187033456,0.0103012193013415,0.000213876036520393,NaN
25,1.96044972404208,NaN,NaN,91.4497670605081
30,NaN,0.0178345091957897,NaN,NaN
35,2.07103392513329,NaN,0.000700159853841273,NaN
40,NaN,NaN,NaN,105.720569451532
45,1.87203851089565,0.100292374967997,NaN,NaN
55,NaN,NaN,0.000537106194935133,89.8324358129236
60,1.85915665695576,NaN,NaN,NaN
65,NaN,0.983285084280139,NaN,NaN
70,NaN,NaN,NaN,90.2778647878763
75,1.92604132302673,NaN,0.000414547629735065,NaN
85,NaN,2.63049673810455,NaN,NaN
90,2.34499008332852,NaN,NaN,94.3042918896536
95,NaN,NaN,0.000398000280331377,NaN
100,2.00469893094278,4.34664786005401,0.000407247429359755,84.422044556233
150,2.16265181249804,9.9594884348564,0.000283043182481225,117.469675794789
200,NaN,14.4503632296447,0.000209615535850513,85.0002644770071
250,NaN,15.5581355078101,0.000145435197175611,64.9047928383424
300,NaN,17.7133784439685,0.000166755822457387,NaN
