t,EpoRJAK2_Obs,p1EpoRpJAK2_Obs,CISnRNA1_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3_Obs
0,2.26083493457554,1.03771966553748e-05,0,0,0.0928882776567165,0,0,0
15,1.79390680900715,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,1533.4947895515,NaN,NaN,NaN,NaN,NaN
25,NaN,0.0125822638692806,NaN,39.1217164531979,NaN,NaN,NaN,NaN
30,2.03994851733747,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,3814.94734788611,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.3760841042465
45,1.75284059418028,NaN,NaN,436.462720150639,0.678672228747091,0.00151393311597392,0.00129482334342701,NaN
55,NaN,0.00877511963574014,3430.80240327114,NaN,NaN,NaN,NaN,NaN
60,2.02547001521056,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,1658.59686197813,NaN,NaN,NaN,NaN
75,NaN,NaN,3485.34502303151,NaN,NaN,NaN,NaN,NaN
80,1.91103544451756,NaN,NaN,NaN,NaN,NaN,NaN,20.8845813629841
85,NaN,0.00747947496518398,NaN,NaN,8.11956385608129,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,0.0011232216757498,NaN
95,NaN,NaN,NaN,NaN,NaN,0.00099679190820341,NaN,NaN
100,2.8505432487135,0.00784729061110997,2418.19842876961,2749.90189978709,NaN,NaN,NaN,18.2294533498382
150,2.50966414611865,0.0101573817856331,1483.90451291556,2608.05426018886,34.7987891022737,0.000693676587730394,0.000575826160696894,20.9843916613904
200,2.05816045140701,0.00685632186897634,1438.77664231811,1495.87964634057,32.1057084378543,0.000647071753914291,0.000539722037968411,22.1081937556368
250,2.20598875850609,0.00952219859349515,1122.31874585376,1412.7066260427,41.7164907135387,0.000367726770886517,0.000584501917318137,NaN
300,NaN,0.00777038655245235,1122.42208373435,1413.09447846498,39.0617116292429,NaN,NaN,25.1257014843538
350,NaN,0.00679536702423015,1173.44062676714,1152.71116168387,NaN,0.000459097322016882,0.000449115631397785,16.7735429727665
400,NaN,NaN,NaN,NaN,45.5383337828223,NaN,0.000451420092179642,NaN
450,NaN,NaN,NaN,949.575018992857,NaN,0.000507082659997562,NaN,17.6899997903777
500,NaN,NaN,NaN,NaN,48.143015448308,NaN,0.000584565171092311,NaN
550,NaN,NaN,NaN,NaN,NaN,0.000440696901497946,NaN,23.1560553792534
600,NaN,NaN,NaN,NaN,54.7660523082763,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,0.000427548285972349,20.9916857565924
700,NaN,NaN,NaN,NaN,47.8029900883021,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.8974124860886
850,NaN,NaN,NaN,NaN,52.3746443362939,NaN,NaN,NaN
