t,EpoRJAK2_Obs,p1EpoRpJAK2_Obs,npSTAT5_Obs,STAT5_Obs
0,2.47965558078702,7.19353770824078e-06,0.0826624819224276,154.339575279888
10,1.80042946412638,NaN,NaN,NaN
15,NaN,0.0177408972989124,37.7032715364799,1.86026209349863
25,2.33057750454698,0.0121714765691882,NaN,NaN
30,NaN,NaN,60.8489197666932,7.81353879416782
40,2.7370129165103,0.0119352072330246,59.5699147427646,NaN
45,NaN,NaN,NaN,20.2471638862711
55,2.29822773189976,NaN,NaN,NaN
60,NaN,0.011590603365994,58.6192595355884,23.483088835232
70,2.18076024452148,NaN,NaN,NaN
75,NaN,0.00837598201976185,61.2753723751188,29.8339331746287
90,2.49183514968984,NaN,NaN,NaN
95,NaN,0.0098719562615743,77.9600204926592,38.8710650236492
100,1.93576924295405,0.00753945005805091,61.9475633311724,32.1879401379734
150,NaN,0.00835519780429828,56.921738292338,46.3786277736122
200,NaN,0.0094175096587182,48.5135797817645,43.2068014222677
250,NaN,NaN,47.7793649495716,39.6368450523423
300,NaN,NaN,53.8675392767703,35.1440948159611
