t,EpoRJAK2_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3_Obs
0,2.41186743955644,0.00773271406530178,0,82.305096206234
8.5,1.89072923728465,NaN,NaN,NaN
10,NaN,0.00972558796002242,NaN,121.770963624342
15,1.79648858486772,NaN,NaN,NaN
20,NaN,NaN,0.000417044299755283,82.7804612352548
25,2.5479747147329,0.013903588217443,NaN,NaN
30,NaN,NaN,NaN,92.9033609567264
35,2.93593754442711,0.0276808223558552,0.000524136334433912,NaN
40,NaN,NaN,NaN,70.5281951490184
45,2.13030306628498,NaN,NaN,NaN
50,NaN,0.242419705266145,NaN,NaN
55,NaN,NaN,0.000629028043839954,79.3494486872947
60,2.87554235392873,0.488148699254704,NaN,NaN
65,NaN,NaN,NaN,82.3117330661421
75,2.56843895267968,NaN,0.000527688200416849,NaN
80,NaN,1.74850997832167,NaN,NaN
85,NaN,NaN,NaN,99.4972145392356
90,2.53757787827769,NaN,NaN,NaN
95,NaN,4.50026478657992,NaN,NaN
100,1.85123827280882,4.74927092519247,0.000391216829024665,107.902986485478
150,2.7129366597142,12.0880151221078,0.000222713931594908,79.4716990081696
200,NaN,16.431827656013,0.000253222737169218,91.5351630552321
250,NaN,14.3928351634841,0.000181300303468058,NaN
300,NaN,NaN,0.000186095012194145,NaN
