t,epo_level,EpoRJAK2_Obs
16,2.5e-09,1.78582257441432
16,7.905e-09,2.04120954470317
16,1.25e-08,1.99938229876241
16,1.25e-08,2.07745628563764
16,1.25e-08,2.11293022139454
16,1.75e-08,2.53548314936192
16,1.75e-08,1.89735381173973
16,1.75e-08,2.03975464272653
16,2.5e-08,1.1999237779642
16,3.95e-08,1.38918399801987
16,7.9e-08,1.34394854748838
16,7.9e-08,1.76323202560733
16,7.9e-08,1.76480767369958
16,1.25e-07,1.6887423252658
16,1.7675e-07,2.04248904477033
16,2.5e-07,2.46754933575098
16,2.5e-07,2.45382638153713
16,2.5e-07,1.5465658162876
16,7.905e-07,1.40514003567228
16,7.905e-07,1.81198417500854
16,7.905e-07,2.34379212197962
16,2.5e-06,2.06672075195393
16,2.5e-06,2.45545957326641
16,2.5e-06,2.00385049286278
