t,EpoRJAK2_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3_Obs
0,2.0502226742694,355.777449627173,0,0
9,2.23665803519462,NaN,NaN,NaN
10,NaN,NaN,NaN,0.0182308648446686
15,NaN,352.537080200343,0.000283991725605667,NaN
20,2.41939539496736,NaN,NaN,NaN
25,2.05080009478026,NaN,NaN,0.613945984742277
30,NaN,392.882039459462,NaN,NaN
35,2.20497233168988,NaN,0.000722044679119518,1.56001751236089
45,NaN,295.084433447989,NaN,NaN
50,2.37247693630134,NaN,NaN,4.60929094229023
55,NaN,NaN,0.000917034740814429,NaN
60,1.9794446776757,NaN,NaN,NaN
65,NaN,287.229760678827,NaN,7.97882383948131
75,2.12597944099766,NaN,0.000957358926112507,NaN
85,NaN,316.159262890969,NaN,8.14994143585569
90,2.498654288881,NaN,NaN,NaN
100,2.3012432900667,278.227411651282,0.000713895174041576,10.2761886992575
150,1.99578515609838,333.50871013601,0.000512156300696357,16.2457298219236
200,NaN,339.1036714232,0.0004722094660713,20.9668552179527
250,NaN,363.109464885967,0.000692434437566314,15.91515403896
300,NaN,368.419333260696,0.000511446530526243,22.2786658022254
