t,epo_level,CIS_Obs,SOCS3nRNA1_Obs
51,2.5e-09,1.84334738355266,0.00212505988903371
51,2.5e-09,1.29581538365772,0.00230692475619808
51,2.5e-09,1.21884739099315,0.00155329654371836
51,2.5e-08,1.06185133639757,0.00156432530438203
51,2.5e-08,1.11140963127621,0.00146753330274794
51,2.5e-08,1.2390315159324,0.00174472656363044
51,1.25e-07,1.24660327013967,0.00199731830775995
51,1.25e-07,1.60029663660812,0.0013413947939453
51,1.25e-07,1.5119530710668,0.00168469927169917
51,2.5e-07,1.38242806638869,0.00169837257365064
51,2.5e-07,1.40509949105934,0.00166893226423828
51,2.5e-07,1.46114432403878,0.0013560091032378
51,1.25e-06,0.51702551761966,0.00133002959704745
51,1.25e-06,0.587584665496851,0.00106632776684556
51,1.25e-06,0.848840780264013,0.0013047804491107
51,2.5e-06,0.0529875080890249,0.000232761979535094
51,2.5e-06,0.0583518468518872,0.000208851804501821
51,2.5e-06,0.0477914918241737,0.000219431916573227
