t,EpoRJAK2_Obs,p1EpoRpJAK2_Obs,CIS_Obs,SOCS3nRNA1_Obs
0,2.20158581936272,8.94014025130492e-06,0.00889881040018671,0
6,2.21415138316168,NaN,NaN,NaN
8,NaN,0.0149037613972003,NaN,NaN
9.5,NaN,NaN,0.00832209095182674,NaN
10,2.20167255119282,NaN,NaN,NaN
15,NaN,0.0081855310905535,NaN,0.00126140192825996
20,1.82467382969141,NaN,0.0152537915401302,NaN
25,1.59113107417083,0.0066690870846144,NaN,NaN
30,2.05190417524179,NaN,0.0440031505890196,0.00194869886744474
35,NaN,0.00723871222412897,NaN,NaN
40,2.09859836779198,NaN,0.348628035679343,NaN
45,NaN,0.00634888911161364,NaN,0.00165178329644285
50,1.87531218098298,NaN,NaN,NaN
55,NaN,0.00583580939658449,1.63738159320495,NaN
60,1.59139023371131,NaN,NaN,NaN
65,NaN,NaN,NaN,0.00140282606316925
70,NaN,0.00410603698464559,4.93819526802808,NaN
75,2.27031624718572,NaN,NaN,NaN
85,NaN,0.00495842603686791,NaN,0.00112081866106258
90,1.64923243102189,NaN,13.163703508666,NaN
100,2.08075598960708,0.00396312344257177,16.8374313836775,0.000731125045596708
150,NaN,0.00427144024405828,29.4950612584503,0.0004612866301123
200,NaN,NaN,29.6420776459999,0.000330968685976694
