t,EpoRJAK2_Obs,p1EpoRpJAK2_Obs,CIS_Obs,SOCS3nRNA1_Obs
0,2.11388496879259,1.43023468752154e-05,0.0105191551236125,0
6.5,2.33049053955436,NaN,NaN,NaN
8,NaN,0.0110494477058075,0.0129659867169786,NaN
10,NaN,NaN,NaN,0.000665509619147452
15,2.05122793994655,0.00805114439371496,0.00951268749621094,NaN
20,2.37774545694888,NaN,NaN,NaN
25,2.50400485193895,0.0081141823008182,0.0311726575030225,0.0016298037504732
35,2.52305963907055,0.00675263040004045,0.149285560670308,0.00161430462645079
45,2.44712100781658,0.00610294920723494,0.597551578865886,NaN
50,NaN,NaN,NaN,0.00151784914544248
55,2.1211302713177,NaN,1.82053426031158,NaN
60,NaN,0.00506293759135001,NaN,NaN
65,NaN,NaN,NaN,0.00149306962779589
70,2.21097903892824,0.0040459104535547,4.32375457977069,NaN
80,NaN,NaN,NaN,0.00111938620756406
85,2.50837112628262,NaN,8.01125979483745,NaN
90,NaN,0.00406751982771803,NaN,NaN
100,2.56284419440444,0.0039277826622733,16.9432233555899,0.000657490636043466
150,NaN,0.00446307677362612,29.4318418117902,0.000482414204173068
200,NaN,NaN,41.7698723332123,0.000447332704099472
