t,EpoRJAK2_Obs,p1EpoRpJAK2_Obs,CIS_Obs,SOCS3nRNA1_Obs
0,2.31108619521088,8.66993943560199e-05,0.00895510938122789,0
6.5,NaN,0.015722324245875,NaN,NaN
7,1.84377173732166,NaN,NaN,NaN
8,NaN,NaN,0.00847699098335584,NaN
15,2.32142644363655,0.0140935734319654,0.00945793804655699,0.00132355810520846
20,2.22445026687059,0.0165929876838201,NaN,NaN
25,NaN,NaN,0.0354232492236555,0.00206835589533522
30,1.96232339406129,0.00998884389445784,NaN,NaN
35,NaN,0.0113180462546625,0.1816600659902,NaN
40,2.18344612250521,NaN,NaN,0.00184745744691984
45,2.53125725001368,0.0104552256437474,0.693732756935971,NaN
55,NaN,0.00985291520122619,1.67073396507091,0.00193235688332021
60,2.39150195144512,NaN,NaN,NaN
65,NaN,0.0111271950502901,3.436950957825,NaN
70,2.41855956939994,NaN,NaN,NaN
75,NaN,NaN,NaN,0.00136970274820668
80,NaN,0.00923294412328721,7.62863282187439,NaN
85,2.1370412969857,NaN,NaN,NaN
95,NaN,NaN,12.1187948809585,0.00109074964137341
100,2.45361199763285,0.00811227011822518,16.0927228789155,0.00083808777829445
150,2.24161177287571,NaN,29.0788984935167,0.000608518009169926
200,NaN,NaN,43.2264008238723,0.000443940097327053
