t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs,Compound_1_Obs
0,29229248.3805769,111.980702560506,-3.22532817241597e-07,0.0280935804231067,-1.05336455102433e-05,238.644694009534,-7.57753947170237e-06,-492.52390549369,29050967.5467534
55,NaN,NaN,NaN,NaN,NaN,257.443167873216,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,NaN,248.435841115155,NaN,NaN,NaN
200,NaN,NaN,NaN,NaN,NaN,250.167534308594,NaN,NaN,NaN
250,NaN,NaN,NaN,NaN,NaN,246.685473225506,NaN,309855.096746694,NaN
300,NaN,228518.533265649,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350,NaN,NaN,NaN,NaN,NaN,251.320465652133,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,NaN,251.754925665104,NaN,NaN,18295713.7718246
450,NaN,NaN,NaN,NaN,0.0023343086804617,NaN,NaN,NaN,NaN
500,15738866.8328496,NaN,NaN,0.0255910392213537,NaN,242.082885481876,NaN,231505.506544553,NaN
550,NaN,NaN,6.38750840651746e-05,NaN,NaN,NaN,0.00068408575973661,NaN,NaN
650,NaN,148072.485105072,NaN,NaN,NaN,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,166582.73866762,NaN
850,NaN,NaN,NaN,NaN,0.00147042415796581,NaN,NaN,NaN,10581801.7280158
950,NaN,107232.427305886,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1000,8631675.25836152,NaN,3.72971768023055e-05,0.0255712235636403,NaN,NaN,0.000975155788678249,126750.843473417,NaN
1500,4973754.51116275,50732.6268984922,2.0543993087944e-05,0.0271330682963615,0.000725590341370261,NaN,0.00099153182507551,70924.8696859713,5187638.54433652
2000,2837723.30832654,28303.968476545,NaN,0.0270891275613235,0.000407327580251329,NaN,NaN,37402.9389038341,2455340.27298295
2500,NaN,19456.3478988502,6.80219832059464e-06,NaN,0.000262995642841571,NaN,0.000824770822459689,21946.014706217,1350092.6754408
3000,961011.473806745,NaN,3.45043878614233e-06,0.0282704879004971,0.000138303038716294,NaN,0.000676472925792219,13544.6238058288,859579.509594061
3500,794409.704681285,4345.56512568272,NaN,0.0276355394513023,NaN,NaN,NaN,9579.62233872382,637609.126949398
4000,NaN,2230.04480509147,1.92193338077859e-06,NaN,4.22662511753134e-05,NaN,0.00047670678993636,9530.34737124553,NaN
4500,-103575.988311601,NaN,NaN,0.0277326551293854,2.74327883090643e-05,NaN,NaN,NaN,85070.2244432884
5000,NaN,2587.80227137076,5.98761869185218e-07,NaN,NaN,NaN,0.000286451161272543,2883.5778137302,NaN
5500,227485.891006516,870.033245464255,NaN,0.0277014284680394,1.4625079460667e-05,NaN,NaN,NaN,458131.460825193
6000,NaN,NaN,3.15861172788798e-07,NaN,NaN,NaN,0.000191398569728825,NaN,NaN
6500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,191389.117010309
7000,58301.9778344842,NaN,-2.17659521840462e-07,0.0278356085806074,2.22644865984489e-06,NaN,0.000123309858513352,NaN,NaN
8000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-121676.169626106
8500,19534.8399208435,NaN,NaN,0.0271991702525631,NaN,NaN,4.93221898257965e-05,NaN,NaN
