t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs,Compound_1_Obs
0,28587151.2503999,5312.41399683453,-1.99125354467227e-06,0.0259438389693061,2.29284964937172e-05,245.49196612062,-1.37871844034864e-05,-5602.55261644018,29237211.2385033
90,NaN,NaN,NaN,NaN,NaN,230.400568174419,NaN,NaN,NaN
150,20820870.467202,738053.170715603,NaN,NaN,NaN,NaN,NaN,924199.444277681,22539861.1051795
200,NaN,NaN,NaN,NaN,NaN,243.999328020705,NaN,NaN,NaN
250,17174130.0093228,NaN,0.00018797211995336,NaN,NaN,NaN,NaN,NaN,NaN
300,NaN,NaN,NaN,NaN,NaN,239.583436410109,NaN,NaN,NaN
350,NaN,495606.034922709,NaN,NaN,NaN,NaN,NaN,607022.704013441,14846270.2093729
400,12091744.2997749,NaN,NaN,NaN,NaN,252.878754415126,NaN,NaN,NaN
500,NaN,349875.539273278,0.000117193845474951,NaN,0.00408169297460437,240.987161323815,NaN,NaN,10952337.0830088
550,9080273.78242967,NaN,NaN,0.0230211178118509,NaN,NaN,0.00150408758943762,416032.963224798,NaN
650,NaN,NaN,NaN,NaN,NaN,254.349615062439,NaN,NaN,NaN
700,NaN,263706.758289103,NaN,NaN,NaN,NaN,NaN,NaN,7284310.24406104
750,5829438.89167851,NaN,NaN,NaN,NaN,NaN,NaN,251895.169297946,NaN
800,NaN,NaN,6.45229266843969e-05,NaN,NaN,238.843139407309,NaN,NaN,NaN
900,4345396.75722299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
950,NaN,149164.708729887,NaN,NaN,NaN,NaN,NaN,NaN,4296056.85258808
1000,3335074.01757316,126776.831150912,4.1021015363786e-05,0.0247833453007174,0.00163133336923655,261.389657819967,0.00183755782446973,153129.682477655,3679388.63675808
1500,1699735.17665668,34241.8933961116,1.42337968186846e-05,0.0270761435029829,0.000609486393556714,234.330409423775,0.00168494398409494,59919.8631206823,1686383.2789054
2000,415469.274320775,NaN,4.69228970984831e-06,NaN,0.000290473696393585,NaN,NaN,NaN,-323083.742638784
2500,-33233.7004700468,NaN,NaN,0.0267986183130265,0.000119565953559249,NaN,0.00115669050630569,NaN,NaN
3000,NaN,NaN,NaN,0.0264828086113331,NaN,NaN,0.000965923997792097,NaN,NaN
3500,NaN,NaN,NaN,NaN,2.00235657147378e-05,NaN,NaN,NaN,NaN
4000,NaN,NaN,NaN,0.0283795392060397,NaN,NaN,0.000583901213741139,NaN,NaN
4500,NaN,NaN,NaN,0.0279020951955625,3.31313481979346e-05,NaN,0.000443899417449345,NaN,NaN
5500,NaN,NaN,NaN,NaN,-8.48057116645567e-06,NaN,NaN,NaN,NaN
6000,NaN,NaN,NaN,0.0267190105964243,NaN,NaN,0.000232127893842505,NaN,NaN
6500,NaN,NaN,NaN,NaN,-6.36672338461651e-06,NaN,NaN,NaN,NaN
7000,NaN,NaN,NaN,0.0281952879492643,NaN,NaN,0.000134124398873053,NaN,NaN
8500,NaN,NaN,NaN,0.0276672305352769,NaN,NaN,9.2700117577417e-05,NaN,NaN
