t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs,Compound_1_Obs
0,28935672.117208,63580.1335807911,-1.8782488340118e-06,0.0274256410194484,8.10796224717531e-07,239.541468410409,1.5389084487741e-05,2139.08400378914,29155417.9564788
40,4237743.01073443,6930732.39068289,NaN,NaN,NaN,NaN,NaN,10803310.9706389,21739877.6868399
65,NaN,NaN,0.000773668322368426,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,5663210.68855383,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10609120.5378347
85,586510.885413622,NaN,NaN,NaN,NaN,NaN,NaN,3731212.48808068,NaN
100,NaN,3622735.99199994,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150,193351.354567116,1093266.14855691,0.000210315859723572,NaN,NaN,242.537458075935,NaN,675035.897744731,1783174.41988637
200,52051.0725542077,269132.021060195,7.53327559705356e-05,NaN,NaN,NaN,NaN,87927.0363107716,NaN
250,7779.63989906003,38750.9994692287,NaN,0.0189094556145772,NaN,244.767292396207,NaN,-13157.9317800103,-109463.58882792
300,-70330.1870721754,NaN,8.36027856423371e-06,NaN,NaN,NaN,NaN,-23491.3811583288,264881.862031726
350,NaN,15134.2483609642,3.32996351582879e-06,NaN,0.00134160098507879,NaN,NaN,24421.9879615585,-401404.659060245
400,-35085.8607106882,14126.4042677454,NaN,NaN,NaN,245.701511167329,NaN,NaN,NaN
450,-136613.625092794,NaN,NaN,NaN,NaN,NaN,NaN,-13007.821606458,-15509.3775526866
500,NaN,37405.1744130793,4.61677549254204e-06,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,0.0281511531512508,NaN,238.703159972511,0.00183027385633327,-49755.453847492,NaN
600,NaN,19997.1302438283,-2.98561197015525e-06,NaN,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1972.32616431863,NaN
700,NaN,NaN,NaN,NaN,NaN,241.363367750756,NaN,NaN,NaN
750,NaN,-46061.3768518637,4.78414447541264e-06,NaN,7.59139335333772e-05,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,0.0262672075866888,NaN,NaN,NaN,NaN,NaN
900,NaN,NaN,-4.58976503078991e-06,NaN,NaN,239.722946021438,NaN,NaN,NaN
1000,NaN,NaN,NaN,0.0273448397194373,7.86915603915599e-05,252.679934319753,0.001434158351904,NaN,NaN
1500,NaN,NaN,NaN,0.0267299252589576,5.30249962165365e-05,245.712882989415,0.00116204637543689,NaN,NaN
2000,NaN,NaN,NaN,0.0266300433821898,4.46123669136056e-05,263.44825162543,NaN,NaN,NaN
2500,NaN,NaN,NaN,0.0280811244013972,NaN,248.261410135658,0.000715081253313947,NaN,NaN
3000,NaN,NaN,NaN,0.0256504102809683,3.85525975032692e-05,NaN,0.000592729102769053,NaN,NaN
3500,NaN,NaN,NaN,NaN,3.20827246196592e-05,NaN,NaN,NaN,NaN
4000,NaN,NaN,NaN,NaN,NaN,NaN,0.000330372553495652,NaN,NaN
4500,NaN,NaN,NaN,NaN,NaN,NaN,0.000310343633937675,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,0.000146750022206199,NaN,NaN
7000,NaN,NaN,NaN,NaN,NaN,NaN,0.000104689440550903,NaN,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,7.43047366033645e-05,NaN,NaN
