t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs,Compound_1_Obs
0,28867777.2039519,-4711.70354268604,-1.73281607495357e-06,0.0258066737500471,9.49229392364487e-06,242.046527272668,1.04119900773261e-05,-8020.27780322244,28670155.6338439
30,NaN,8520148.88678815,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9656359.80343049,NaN
45,31532.4213948016,NaN,0.000986545637550446,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15048706.4084725
65,NaN,6011233.1545044,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2684840.13957826,NaN
90,89992.4044674431,NaN,0.000411353317707265,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,2502923.53015905,NaN,NaN,NaN,NaN,NaN,1363712.02619575,4330266.53187195
150,-127030.466389787,627827.613280705,0.00013573884126139,NaN,NaN,248.539329679658,NaN,199106.063281026,1089973.97989738
200,-103806.086453129,71204.7308534279,3.80147303494059e-05,NaN,NaN,NaN,NaN,95198.1196973147,486187.109005642
250,161496.94586597,NaN,1.54429352337929e-05,0.0224250598809577,0.00377139088731387,NaN,NaN,-19898.9097325399,NaN
300,NaN,-15125.7936854571,2.03353208640732e-06,NaN,NaN,257.856698901971,NaN,NaN,-64900.7888651175
350,-110404.025621855,37281.5577524765,NaN,NaN,NaN,NaN,NaN,-10578.401256324,239044.664829816
400,NaN,22099.3697298968,-2.08979880452994e-06,NaN,NaN,NaN,NaN,12454.0504341561,NaN
450,67986.0175764086,NaN,-5.96098413190514e-06,NaN,NaN,248.505828643492,NaN,NaN,-188448.700576184
500,NaN,37087.7182444091,NaN,0.0275390795282952,NaN,NaN,0.00179483202270682,-23853.3824498576,NaN
550,NaN,NaN,-3.73276935774096e-06,NaN,0.000132491348800995,NaN,NaN,NaN,97884.6377521961
600,NaN,27894.2764517645,NaN,NaN,NaN,244.491577548869,NaN,18067.404768454,NaN
700,NaN,NaN,4.79737097843816e-06,NaN,NaN,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,0.0270438957996794,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN,NaN,242.849821092656,NaN,NaN,NaN
900,NaN,NaN,NaN,NaN,5.64703004231393e-05,NaN,NaN,NaN,NaN
1000,NaN,NaN,NaN,0.0280887455834991,7.20071148284469e-05,259.948342028985,0.00136258025795061,NaN,NaN
1500,NaN,NaN,NaN,0.0266836803185104,4.10276528882435e-05,239.412800644655,0.00110991842898887,NaN,NaN
2000,NaN,NaN,NaN,0.0262260501571288,4.40224057231014e-05,234.983911346034,0.000862689418931701,NaN,NaN
2500,NaN,NaN,NaN,0.0274948760002675,7.42624708409066e-05,259.040436319169,0.000672804367707882,NaN,NaN
3000,NaN,NaN,NaN,NaN,NaN,251.875829930148,NaN,NaN,NaN
3500,NaN,NaN,NaN,0.0285338094957923,1.41033856793536e-05,NaN,0.000408649713630237,NaN,NaN
4000,NaN,NaN,NaN,NaN,NaN,NaN,0.000312114665221467,NaN,NaN
5000,NaN,NaN,NaN,NaN,NaN,NaN,0.000238653216785936,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,0.000145107875988297,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,9.24402592575274e-05,NaN,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,9.98092395274134e-05,NaN,NaN
