t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs,Compound_1_Obs
0,28537948.2327774,-25161.6844224347,-2.88163857245781e-07,0.02836552011375,-8.05730683463455e-06,235.71342148406,3.06988040874752e-05,-4765.23652846866,28712803.9093888
55,NaN,NaN,NaN,NaN,NaN,246.707429887128,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23975852.7006627
80,18632071.7066253,1992719.08856599,NaN,NaN,NaN,NaN,NaN,2835312.32368147,NaN
100,NaN,NaN,NaN,NaN,NaN,242.191194477162,NaN,NaN,NaN
150,12675083.313255,1722024.4629853,0.000397054277045117,NaN,NaN,246.75012959393,NaN,2106382.39156679,16219793.6524454
200,NaN,NaN,NaN,NaN,NaN,246.917843389678,NaN,NaN,NaN
250,7839364.29908576,1111342.19196768,NaN,NaN,NaN,NaN,NaN,1257054.79957889,9793118.94078278
300,NaN,NaN,0.000220757848187615,NaN,0.00851394434861696,250.904514106918,NaN,NaN,7649248.71271616
350,4586204.17493943,607859.521854541,NaN,0.0181641947830472,NaN,229.309052939176,NaN,722463.492226971,NaN
400,NaN,NaN,0.000145614455790518,NaN,NaN,NaN,NaN,NaN,4645698.51897072
450,NaN,355706.977744921,NaN,NaN,NaN,253.69613777718,NaN,459056.675476439,NaN
500,1764411.09644672,NaN,NaN,NaN,NaN,NaN,0.00224448233307789,NaN,2734103.817314
550,NaN,204376.023131615,NaN,NaN,0.00319903186017755,242.07911535121,NaN,312932.55512775,NaN
600,NaN,NaN,5.61759529721327e-05,NaN,NaN,NaN,NaN,NaN,NaN
650,867587.086580627,NaN,NaN,NaN,NaN,248.009545630325,NaN,156840.789887261,1361712.30479503
700,NaN,114018.541550771,NaN,0.0235221873253533,NaN,NaN,NaN,NaN,NaN
750,NaN,NaN,2.27644645040508e-05,NaN,NaN,NaN,NaN,NaN,NaN
800,722279.410478191,NaN,NaN,NaN,NaN,250.665134898383,NaN,27589.6739336135,613590.694461914
850,NaN,43066.5279233662,NaN,NaN,NaN,NaN,NaN,NaN,NaN
900,NaN,NaN,NaN,NaN,0.000692265616051734,NaN,NaN,NaN,NaN
950,NaN,NaN,6.88378009377966e-06,NaN,NaN,242.892809849237,NaN,39056.2319175804,361636.902187021
1000,NaN,10219.918820784,7.16159475175129e-06,0.0258307539225747,0.000460098095576413,NaN,0.0021863344550655,12165.3896044239,13079.818566103
1500,NaN,-20401.4809983913,2.58895941209613e-06,0.0249358527152632,0.000101221497539357,NaN,0.00174132463900981,26363.7719714912,36880.261967662
2000,NaN,NaN,2.30575275212081e-06,0.0264432698133188,9.3237973986059e-05,NaN,0.00131832827314833,NaN,NaN
2500,NaN,NaN,NaN,0.0277316536878469,0.000152339176692685,NaN,NaN,NaN,NaN
3000,NaN,NaN,NaN,0.02524446277824,0.00014846883368205,NaN,0.000794096369366645,NaN,NaN
4000,NaN,NaN,NaN,0.0290835935858501,7.0466227338802e-06,NaN,0.000515860725263455,NaN,NaN
4500,NaN,NaN,NaN,NaN,NaN,NaN,0.000453030892903381,NaN,NaN
5000,NaN,NaN,NaN,0.0269163675691301,NaN,NaN,NaN,NaN,NaN
6000,NaN,NaN,NaN,0.0278173296388474,NaN,NaN,0.000203536079035558,NaN,NaN
7000,NaN,NaN,NaN,NaN,NaN,NaN,0.000149581887020422,NaN,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,8.22377827391691e-05,NaN,NaN
