t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs,Compound_1_Obs
0,28442957.3371673,-1442.46971719655,5.70690680730406e-06,0.0288760766075093,-8.6336540820883e-05,255.308035027342,2.83855309941115e-05,60859.1389085519,28844694.2963122
35,17210743.0411997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26425619.246653
40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6402311.07145135,NaN
45,NaN,3563490.0839102,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,0.000876002011473009,NaN,NaN,NaN,NaN,NaN,NaN
65,11323114.9410891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5377377.48649225,18790362.045301
90,NaN,3984018.63394108,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,6536453.28285378,NaN,0.000588964462735791,NaN,NaN,NaN,NaN,4117481.32643259,14769270.1217099
150,3478665.93201153,2309771.33747029,NaN,NaN,NaN,240.195753203281,NaN,2231065.02389732,7753440.72835117
200,1605511.116085,1169983.82873412,0.000253495943913644,NaN,NaN,NaN,NaN,1053812.81443277,4188527.18268809
250,1269982.50818741,626988.08890036,0.000171416178478135,NaN,0.00907191103528309,NaN,NaN,444736.735484505,2440465.13083453
300,47745.7573376427,317820.250197165,0.000101553669953084,0.0209534550661697,NaN,237.379205590449,NaN,252020.179710256,1091762.93202946
350,NaN,144413.094711112,NaN,NaN,NaN,NaN,NaN,NaN,957959.457619243
400,79942.6115796822,NaN,3.68277107279549e-05,NaN,NaN,NaN,NaN,100884.260327656,NaN
450,NaN,89663.2795969077,NaN,NaN,NaN,262.9126679164,NaN,30004.9080172793,302911.088464265
500,NaN,NaN,1.78536398337147e-06,NaN,0.000926443896709431,NaN,NaN,NaN,NaN
550,NaN,18422.1904432278,NaN,NaN,NaN,NaN,0.00214979845315988,-25192.9875975071,-6858.48610147143
600,NaN,NaN,5.37453976427363e-06,NaN,NaN,NaN,NaN,NaN,NaN
650,NaN,29497.815912282,NaN,0.024694018497365,NaN,245.951932573186,NaN,NaN,240564.98007936
700,NaN,NaN,9.20664427960038e-06,NaN,NaN,NaN,NaN,-23403.4202602149,NaN
750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90326.8222732792
800,NaN,-1721.44516314963,NaN,NaN,4.31011107215781e-05,NaN,NaN,NaN,NaN
850,NaN,NaN,9.68599290921292e-06,NaN,NaN,253.655501027828,NaN,NaN,NaN
1000,NaN,NaN,-2.06124487885869e-07,0.027793640195596,0.000178223557503637,236.633231658619,0.00174981164851309,NaN,NaN
1500,NaN,NaN,NaN,0.0282027158720942,0.000106720744736175,233.803045566187,0.00137631765018834,NaN,NaN
2000,NaN,NaN,NaN,0.0273325351902333,7.30357677788995e-05,249.733171015466,NaN,NaN,NaN
2500,NaN,NaN,NaN,0.0282838240504017,-1.19251709514907e-05,249.4350651138,0.000871459206903684,NaN,NaN
3000,NaN,NaN,NaN,0.0292136856583894,NaN,NaN,0.000700430452936918,NaN,NaN
3500,NaN,NaN,NaN,0.0281450580328382,3.7350083893923e-05,NaN,NaN,NaN,NaN
4000,NaN,NaN,NaN,NaN,NaN,NaN,0.000445661701652614,NaN,NaN
4500,NaN,NaN,NaN,0.0283443138436297,NaN,NaN,0.000335152381001401,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,0.000171989902644582,NaN,NaN
7000,NaN,NaN,NaN,NaN,NaN,NaN,0.000104588584475827,NaN,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,5.47542706650264e-05,NaN,NaN
