t,TGFb_Obs,Rec_Obs,ppS2_ppS3_S4_Obs,geneD_Obs,geneG_Obs,geneK_Obs
0,1.0470375813927,1.03817340773953,0.000956884620952732,0.940294779353943,1.10218319357059,1.02395647736531
60,NaN,NaN,0.812050518458023,1.23022916095951,NaN,NaN
65,0.733318902753846,0.777580008225537,NaN,NaN,3.98055463602002,NaN
80,NaN,NaN,NaN,NaN,NaN,0.86800460098125
100,NaN,NaN,0.768197764445982,1.54812120151502,NaN,NaN
150,0.583256956704679,0.607053544456404,NaN,NaN,3.69163690608796,0.886046157949529
200,0.492550964953159,0.529612668408873,0.581527155952393,2.34497442929827,3.56849171257936,NaN
250,0.455405880624389,NaN,0.498392958771581,2.16348358192291,NaN,0.6488307006705
300,NaN,0.446626691407395,NaN,2.71978329163684,2.82921772270262,NaN
350,0.388294157036509,0.365865971101894,0.401144442873153,NaN,2.61510813882899,0.734364327321852
400,NaN,NaN,NaN,2.74648516068242,NaN,NaN
450,0.240432460942171,0.307572160139616,0.283020808218257,NaN,2.32785920302618,0.582156815946107
500,NaN,NaN,NaN,2.93594603098088,NaN,NaN
550,0.230987451580425,0.291095647951798,0.210088018285888,NaN,NaN,NaN
600,NaN,NaN,NaN,2.71604368894618,1.55397549138618,0.574483551320709
650,0.198559019003056,NaN,0.148753848327635,NaN,NaN,NaN
700,NaN,0.216133485005431,NaN,3.01538999690956,1.80743184782155,NaN
750,NaN,NaN,NaN,NaN,NaN,0.409627320814264
800,0.216060239891695,NaN,0.0986319144196834,NaN,NaN,NaN
850,NaN,0.18126732793587,NaN,3.14375347428456,NaN,NaN
900,NaN,NaN,NaN,NaN,1.42975574032519,NaN
950,NaN,NaN,NaN,NaN,NaN,0.476119452473236
1000,0.11366337146252,0.16203063224098,0.109723869464012,2.74084926174146,1.59464665024942,NaN
1500,0.122498204761917,0.145359111544738,NaN,2.50218167396442,1.18200394553458,NaN
