t,TGFb_Obs,Rec_Obs,ppS2_ppS3_S4_Obs,geneD_Obs,geneG_Obs,geneK_Obs
0,0.986527194479137,1.06805528260083,0.0280933237797285,1.01892065040632,0.706061179852794,0.974846857718207
55,NaN,NaN,NaN,NaN,5.54926953578536,NaN
65,0.749160118725301,NaN,1.25916028157478,NaN,NaN,NaN
70,NaN,0.816613952080808,NaN,1.51883697643577,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,0.957674370261813
100,NaN,NaN,NaN,NaN,5.60545674290814,NaN
150,0.568313743552449,0.581748547955865,1.02816681574947,1.88484630105952,5.35134894392478,0.730178563023222
200,0.509202038755638,0.493792997434103,0.837979431221534,1.92593718276287,NaN,NaN
250,NaN,NaN,NaN,NaN,4.07494942139818,0.816708742972287
300,0.363146542629286,0.4119912882477,0.51033301654069,2.33874507648576,3.9516039485233,0.657508252452883
350,0.403634114711945,NaN,0.475939753999915,NaN,3.46307755587605,NaN
400,NaN,0.362700159131669,NaN,2.82610144830739,NaN,0.648122764567868
450,0.308655069345352,0.273551444683607,0.374493088089331,NaN,2.64602673990742,NaN
500,NaN,NaN,NaN,2.81471001691686,NaN,0.546548832927986
550,0.261389687206954,NaN,0.262796272719678,NaN,2.57772935421674,NaN
600,NaN,0.254830541089976,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,3.00427871176517,2.26950035155982,0.457770415351073
700,0.214709268620149,0.206637697441293,0.138365823398565,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,1.73374297805652,NaN
800,NaN,NaN,NaN,2.39657103771986,NaN,0.426676360107615
850,0.182422769134154,0.15925776674777,0.0537745742017502,NaN,NaN,NaN
900,NaN,NaN,NaN,NaN,2.07052892426987,NaN
950,NaN,NaN,NaN,2.80467297758125,NaN,NaN
1000,0.217215926089052,0.191894402089558,0.136774800553956,2.61474729719533,1.52380875391823,0.345262434326347
1500,0.0973533537046838,0.0963740983323994,NaN,1.79897789889025,NaN,0.363027287078974
