t,TGFb_Obs,Rec_Obs,ppS2_ppS3_S4_Obs,geneD_Obs,geneG_Obs,geneK_Obs
0,1.03238846836523,1.03244591898497,0.0507306284459975,1.1502249077201,1.16108470346139,1.00575583549842
40,NaN,NaN,NaN,1.22592559912889,NaN,NaN
55,NaN,NaN,1.53917959546639,NaN,NaN,NaN
65,NaN,0.756611265677012,NaN,NaN,4.91065581501009,NaN
70,0.739013971566284,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,1.49390893824986,NaN,0.820605056877659
100,NaN,NaN,1.43639762254255,1.38719135751091,NaN,NaN
150,0.564008097193387,0.621759436328279,NaN,1.69796753654851,4.19578406761273,0.773492540604173
200,0.51036347599882,0.530399700918671,1.09675085575807,2.36549263177532,4.14712260008069,NaN
250,NaN,NaN,0.905206433566714,NaN,NaN,0.594241552746091
300,0.366661632377274,0.415421181666125,0.689180766223021,2.69338799199213,3.25981216879561,NaN
350,NaN,0.360563679847835,NaN,2.62285386647288,3.05061414728671,0.587863545000067
400,0.303395722132849,NaN,0.600534107091052,2.64286786593433,NaN,NaN
450,NaN,0.323363148604235,NaN,NaN,2.15808674323649,0.43911069676689
500,0.24846255197792,NaN,0.402751066362534,2.71209537269928,NaN,NaN
550,NaN,0.265927699874992,NaN,NaN,1.81071436579862,NaN
600,NaN,NaN,0.304016758151393,NaN,NaN,0.440297269026149
650,0.218447149310395,NaN,NaN,3.03609389306749,NaN,NaN
700,NaN,0.217326602609499,0.199297950832419,NaN,1.71046931488367,NaN
750,NaN,NaN,NaN,3.1921608846454,NaN,0.328477431476527
800,0.18769481136121,NaN,NaN,NaN,NaN,NaN
850,NaN,0.18303753939854,0.179999715851779,NaN,1.28412985594008,NaN
950,0.154296988259247,NaN,NaN,NaN,NaN,0.193967464652451
1000,0.150739782654136,0.227159818868933,0.229349278981911,NaN,1.82932229617719,0.223318672591699
1500,0.119285812575961,0.11146424255179,NaN,NaN,1.32041600120449,0.252878979421956
