t,TGFb_Obs,Rec_Obs,ppS2_ppS3_S4_Obs,geneD_Obs,geneG_Obs,geneK_Obs
0,-0.141016974319683,0.923261923931838,0.0883728434771735,0.941106057369712,0.999559176640467,0.927930136293895
9.5,0.0253635213403048,NaN,NaN,NaN,NaN,NaN
10,NaN,0.922813379151545,-0.0828107143276138,0.922506219024794,NaN,1.02106798639343
15,NaN,NaN,NaN,NaN,1.11310032928529,NaN
20,0.0621170964755329,NaN,0.0214436164905689,NaN,NaN,NaN
25,NaN,0.970003345636472,NaN,1.01414408662648,1.03656261972924,1.00255751012267
30,-0.117718347603851,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,0.0666023926328623,NaN,NaN,NaN
40,NaN,1.07289453215928,NaN,1.08895515426492,1.02860990452093,1.19289669916563
45,-0.0703224324002977,NaN,0.0977536683591212,NaN,NaN,NaN
55,0.0481567679242705,0.945343204092719,NaN,0.945752376118374,1.07411982843844,0.981358896603525
60,NaN,NaN,0.0924954995970295,NaN,NaN,NaN
70,NaN,0.99676620149015,NaN,NaN,NaN,NaN
75,0.0112845273435263,NaN,NaN,0.957908212504927,0.940582245546598,1.03622152105316
80,NaN,NaN,0.0282888960877235,NaN,NaN,NaN
90,NaN,1.14356713123918,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,0.961486582918204,0.988444045117084,1.11288962490731
