t,TGFb_Obs,Rec_Obs,ppS2_ppS3_S4_Obs,geneD_Obs,geneG_Obs,geneK_Obs
0,-0.0278999382398313,0.967619621154989,0.00415297098564235,0.957951020076372,0.9907242950977,0.930332982455871
10,-0.122471221053362,1.03154795145007,0.0741412072024698,NaN,1.12774283596807,0.92202925889028
15,NaN,NaN,NaN,0.818362521555605,NaN,NaN
20,NaN,1.06567656244862,NaN,NaN,NaN,NaN
25,0.0574773959650925,NaN,0.0244936831161444,0.916957749339405,1.25128043631856,1.04756797419153
30,NaN,1.12477004404405,NaN,NaN,NaN,NaN
35,0.0460297691057193,NaN,NaN,NaN,NaN,0.931988290972741
40,NaN,NaN,0.105204348760116,0.971236752742565,0.971765635443516,NaN
45,NaN,1.01310019414882,NaN,NaN,NaN,NaN
50,-0.053681227216427,NaN,NaN,NaN,NaN,1.0166309252333
55,NaN,NaN,0.111578734738815,NaN,0.84725974682348,NaN
60,NaN,0.970951184177438,NaN,0.950818497100558,NaN,NaN
65,-0.0808775307260263,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,-0.0642994663641584,NaN,NaN,0.978253920333296
75,NaN,1.01785789287315,NaN,0.975526281068399,0.997995985032247,NaN
85,0.0156161312093205,NaN,NaN,NaN,NaN,0.981780072389594
95,NaN,NaN,0.0584055946935724,NaN,0.953257353134917,NaN
100,NaN,NaN,NaN,0.93768066733967,NaN,NaN
