t,TGFb_Obs,Rec_Obs,ppS2_ppS3_S4_Obs,geneD_Obs,geneG_Obs,geneK_Obs
0,0.0398647770901137,1.03312229825003,-0.076233806808169,1.06879626251357,0.934724888589191,0.927053996230467
9,NaN,NaN,NaN,NaN,NaN,1.03877781025244
9.5,NaN,NaN,NaN,0.899102052295772,NaN,NaN
10,-0.132509657013501,1.12824936660162,-0.0412614353710049,NaN,0.996583142427175,NaN
20,NaN,NaN,-0.0703754396031199,0.958379786116973,NaN,0.904749459132617
25,-0.0649269653776424,1.08659886302576,NaN,NaN,0.990939035326839,NaN
30,NaN,NaN,NaN,1.04818487298234,NaN,1.12358734914798
35,NaN,NaN,0.0136726817287028,NaN,NaN,NaN
40,-0.0903851057021598,1.13310020510567,NaN,NaN,1.00837303759879,0.926698177044108
45,NaN,NaN,0.139411776807885,0.998013875519478,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,0.976894218049771
55,0.11329219939699,0.900481270097111,NaN,NaN,0.916091454959086,NaN
60,NaN,NaN,NaN,0.944492266679618,NaN,NaN
65,NaN,NaN,0.0131466226274619,NaN,NaN,1.071676337215
70,-0.115379788180123,NaN,NaN,NaN,NaN,NaN
75,NaN,1.03171205967349,NaN,1.02686451658597,1.05410992925909,NaN
80,NaN,NaN,0.00703673371271269,NaN,NaN,1.02883439727871
95,-0.0326558650017339,1.0563378508568,NaN,NaN,1.04311423483388,NaN
