t,TGFb_Obs,Rec_Obs,ppS2_ppS3_S4_Obs,geneD_Obs,geneG_Obs,geneK_Obs
0,-0.0442231955814099,1.03866939803718,-0.0333028772499833,1.04562561228606,1.04586214940587,0.972512962918803
9,NaN,NaN,NaN,0.852905161993707,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,0.898932191225746
10,-0.215403201376935,1.12496214978841,NaN,NaN,1.11344989046243,NaN
15,NaN,NaN,-0.0865584032521273,NaN,NaN,NaN
20,NaN,1.16763224551342,NaN,1.09842147963615,NaN,1.00012718857999
25,0.00902444981097146,NaN,0.00524565196071394,NaN,1.01216589928198,NaN
30,NaN,NaN,NaN,1.04702978912446,NaN,0.929631320760211
35,0.029092351718622,0.939011405401331,NaN,NaN,NaN,NaN
40,NaN,NaN,-0.126084039738914,0.970442335729351,1.08498045926593,1.05356821333777
45,NaN,0.96123847001527,NaN,NaN,NaN,NaN
50,0.231597575987471,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,0.057961397905777,0.973429783458719,1.0087668719013,0.9619792447641
60,NaN,0.965175651346906,NaN,NaN,NaN,NaN
65,-0.0688364721250647,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,0.935263925937154,1.01543409597052,0.978562292663246
75,NaN,0.919953472275564,0.0725940040686756,NaN,NaN,NaN
85,-0.0763098293883335,NaN,NaN,NaN,NaN,0.974305595822879
90,NaN,NaN,NaN,NaN,1.04938980115933,NaN
95,NaN,1.12985660990578,NaN,NaN,NaN,NaN
100,NaN,NaN,0.0957327449310467,NaN,NaN,NaN
