t,TGFb_Obs,Rec_Obs,ppS2_ppS3_S4_Obs,geneD_Obs,geneG_Obs,geneK_Obs
0,1.03812915448914,0.995815760552269,-0.0204646640077669,1.07572444924346,0.892216088904807,1.01468465552416
55,NaN,NaN,NaN,NaN,3.58959837551766,NaN
65,NaN,NaN,NaN,1.26022660946276,NaN,0.959058751133786
70,0.750117712853855,0.76309254353183,NaN,NaN,NaN,NaN
75,NaN,NaN,0.622391302639976,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,3.46837559505661,NaN
150,0.580956377027067,0.617486909556492,0.565221411998375,1.87821805019295,3.2702859734397,0.889007341686106
200,0.447003767401346,0.501794273137954,NaN,2.01583897296615,NaN,0.737563509172505
250,NaN,NaN,0.379593739962615,NaN,2.72490090990559,0.785125782040456
300,0.371303113013155,0.454673595299025,0.324856015017647,2.50865246119407,2.3480075049355,NaN
350,0.362990723154078,NaN,NaN,2.3772255694917,NaN,0.645324146599696
400,NaN,0.390519836458491,0.243930021691028,NaN,2.28916571626143,NaN
450,0.32126256271594,NaN,NaN,2.89080970601676,1.99711405798631,0.586837637781377
500,NaN,0.285133307487028,NaN,NaN,NaN,NaN
550,0.252421734145945,NaN,0.147744785633297,2.77186393786055,NaN,0.542870214784304
600,NaN,NaN,NaN,NaN,1.74868966707819,NaN
650,NaN,0.227462184822423,0.115240533975232,NaN,NaN,0.511245673957041
700,0.233055520365974,NaN,NaN,2.62499551092095,1.30339696436175,NaN
800,NaN,0.201682488137296,0.0846863872117225,NaN,NaN,0.479063066609587
850,0.147509065106676,NaN,NaN,2.66146890381686,1.13623690835339,NaN
950,NaN,0.193030561825426,NaN,NaN,NaN,NaN
1000,0.126602547656736,0.1476864638483,0.047487360651027,2.21879407156891,1.31337828451001,0.443414836239321
1500,0.141065764630993,0.102147935771216,7.59353297150323e-05,2.06826211678229,NaN,NaN
